"Ref_N","Reference"
39,"Edmonds, D., Kessler, E., & Bolte, L. (2019). How common is common? Rapidly assessing population size and structure of the frog Mantidactylus betsileanus at a site in east‐central Madagascar. Austral Ecology, 44(7): 1196-1203"
40,"徐贤城.(2023).西藏齿突蟾（Scutiger boulengeri）种群生态学研究(硕士学位论文,西北师范大学). https://kns.cnki.net/kcms2/article/abstract?v=axnrJTP8flzzR6b6gE8tENyIBPc1dl1fbjzxc3nd7MDyMqn6OKPbToflArNs1Hey-pqh7FIB1fkPD3xB04q2FRfiOl9AddZVyw82p4xvtARDhs0dl44NHkN1a09g3tWM5NbQrA7i_Ow=&uniplatform=NZKPT&language=CHS"
41,"Barata, I. M., Razafindraibe, J. H., Ravelojaona, R. N., Ralovarisoa, E., Mullin, K. E., Hudson, M. A., & Dawson, J. (2022). First population estimates of two Critically Endangered frogs from an isolated forest plateau in Madagascar. Oryx 56(6), 897-903"
42,"Driscoll, D.A., (1998). Counts of calling males as estimates of population size in the endangered frogs Geocrina alba and G. vitellina. Journal of Herpetology 32, 475-481."
43,"Almeida-Santos, M., Siqueira, C. C., Anjos, L. A., Van Sluys, M., & Rocha, C. F. D. (2017). Ecological aspects of the horned leaf-frog Proceratophrys mantiqueira (Odontophrynidae) in an Atlantic Rainforest area of southeastern Brazil. SALAMANDRA, 53(3), 413-422."
44,"Stevenson, B. C., van Dam‐Bates, P., Young, C. K., & Measey, J. (2015). A spatial capture‐recapture model to estimate call rate and population density from passive acoustic surveys. Methods in Ecology and Evolution 6: 38-48"
45,"Stark, D., Turner, A., van Rensburg, B. J., & Measey, J. (2022). Population estimation of a cryptic moss frog using acoustic spatially explicit capture recapture. bioRxiv, doi: 10.1101/2022.04.01.486679"
46,"Smith, L. L., Howze, J. M., Staiger, J. S., Sievers, E. R., Burr, D., & Enge, K. M. (2021). Added value: gopher tortoise surveys provide estimates of gopher frog abundance in tortoise burrows. Journal of Fish and Wildlife Management, 12(1), 3-11."
47,"Regosin, J. V., Windmiller, B. S., Homan, R. N., & Reed, J. M. (2005). Variation in terrestrial habitat use by four pool-breeding amphibian species. Journal of Wildlife Management, 69(4), 1481-1493."
48,"Regosin, J. V., Windmiller, B. S., & Reed, J. M. (2003). Terrestrial habitat use and winter densities of the wood frog (Rana sylvatica). Journal of Herpetology, 37(2), 390-394."
49,"Fukushima, Y., & Naito, K. (2024). Impact of an environment-friendly rice-production method on the population density of Pelophylax nigromaculatus frogs. Landscape and Ecological Engineering, 1-8."
50,"Loman, J. (1984). Density and survival of Rana arvalis and Rana temporaria. Alytes, 3(4), 125-134."
51,"Boano, G., Sindaco, R., (1992). Distribuzione e status di Rana latastei in Piemonte. Quaderni della Civica Stazione idrobiologica di Milano 19, 59-68."
52,"Johansson, M., Primmer, C. R., & Merilae, J. (2006). History vs. current demography: explaining the genetic population structure of the common frog (Rana temporaria). Molecular Ecology, 15(4), 975-983."
53,"姚雾清.(2022).茂兰国家级自然保护区茂兰疣螈种群分布及繁殖水体特征研究(硕士学位论文,贵州大学). https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_axhGW0bz0EEJ8eTuYv9UwOlCFSmx8QXYRGJurRk8cjj-wWHMsFl4rXjgukBTm-yX79yHO4kUUiU5OQpzSoiOe5Z3Ckok6ge6e1p-MmLrSNauS3Kv3ZRxtLILXvapxi4ig=&uniplatform=NZKPT&language=CHS"
54,"Pearson, P.G., (1955). Population Ecology of the Spadefoot Toad, Scaphiopus h. holbrooki (Harlan). Ecological Monographs 25, 234-267."
55,"Whiteman, H.H., Wissinger, S.A., (2005). Amphibian population cycles and long-term data sets, In Amphibian Declines: Conservation Status of United States Species. ed. M.L. Lannoo, pp. 177-184. California University Press, Berkley."
56,"Anderson, P. K. (1960). Ecology and evolution in island populations of salamanders in the San Francisco Bay region. Ecol. Monogr., 30:359-385."
57,"Cunningham, J. D. (1960). Aspects of the ecology of the pacific slender sala- mander, Batrachoseps pacificus, in southern California. Ecology, 41: 88-9"
58,"Vial, J. L. (1968). The ecology of the tropical salamander, Bolitoglossa subpalmata, in Costa Rica. Revista de Biologia Tropicale, 15(1), 13-115."
59,"Petranka, J.W., Murray, S.S., (2001). Effectiveness of removal sampling for determining salamander density and biomass: A case study in an Appalachian streamside community. Journal of Herpetology 35, 36-44."
60,"Dodd, C.K.J., Dorazio, R.M., (2004). Using counts to simultaneously estimate abundance and detection probabilities in a salamander community. Herpetologica 60, 468-478."
61,"Smith, C.K., Petranka, J.W., (2000). Monitoring terrestrial salamanders: Repeatability and validity of area-constrained cover object searches. Journal of Herpetology 34, 547-557."
62,"Peterman, W. E., Crawford, J. A., & Semlitsch, R. D. (2008). Productivity and significance of headwater streams: population structure and biomass of the black‐bellied salamander (Desmognathus quadramaculatus). Freshwater Biology, 53(2), 347-357."
63,"Stebbins, R. C. (1954). Natural history of the salamanders of the plethodontid genus Ensatina. University of California Publications in Zoology 54: 47–24"
64,"Bradley, J. G., & Eason, P. K. (2019). Observations on the population ecology of the cave salamander, Eurycea lucifuga (Rafinesque, 1822). Journal of Cave and Karst Studies, 81(1), 1-8."
65,"Peterman, W. E., & Semlitsch, R. D. (2013). Fine-scale habitat associations of a terrestrial salamander: the role of environmental gradients and implications for population dynamics. PLoS One, 8(5), e62184."
66,"Heatwole, H. (1962). Environmental factors influencing local distribution and activity of the salamander Plethodon cinereus. Ecology, 43:460-472"
67,"Grover, M. C. (1998). Influence of cover and moisture on abundances of the terrestrial salamanders Plethodon cinereus and Plethodon glutinosus. Journal of Herpetology, 489-497."
68,"Test, F. H. & B. A. Bingham. (1948). Census of a population of the red- backed salamander (Plethodon cinereus). Amer. Midl. Natur., 39: 362-372."
69,"Wilk, A. J., Donlon, K. C., & Peterman, W. E. (2020). Effects of habitat fragment size and isolation on the density and genetics of urban red-backed salamanders (Plethodon cinereus). Urban Ecosystems, 23(4), 761-773."
70,"Garbark, C. (2019). The Relationship of Red-Backed Salamander Abundance to the Direct and Indirect Use Value of Undisturbed Forest, a Timberland Mosaic of Forest, and Agricultural Land-Uses. MS Thesis"
71,"Siddig, A.A., Ellison, A.M., Jackson, S., (2015). Calibrating abundance indices with population size estimators of red back salamanders (Plethodon cinereus) in a New England forest. PeerJ 3, e952."
72,"Buderman, F. E., & Liebgold, E. B. (2012). Effect of search method and age class on mark-recapture parameter estimation in a population of red-backed salamanders. Population ecology, 54(1), 157-167."
73,"Hocking, D. J., & Babbitt, K. J. (2014). Effects of red-backed salamanders on ecosystem functions. PloS one, 9(1), e86854"
74,"Reichenbach, N., & Kniowski, A. (2009). The Ecology of the Peaks of Otter Salamander (Plethodon Hubrichti) in sympatry with the Eastern Red-Backed Salamander (Plethodon Cinereus). Herpetological Conservation and Biology 4(3): 285-294"
75,"Burton, T. M., & Likens, G. E. (1975). Salamander populations and biomass in the Hubbard Brook experimental forest, New Hampshire. Copeia, 541-546."
76,"Mathis, A. (1991). Territories of male and female terrestrial salamanders: costs, benefits, and intersexual spatial associations. Oecologia, 86(3), 433-440."
77,"Klein, H. G. (1960). Population estimate of the red-backed salamander. Herpetologica, 16(1), 52-54."
78,"Merchant, H. (1972). Estimated population size and home range of the salamanders Plethodon jordani and Plethodon glutinosus. Journal of the Washington Academy of Sciences, 248-257."
79,"Semlitsch, R.D., (1980). Geographic and Local Variation in Population Parameters of the Slimy Salamander Plethodon glutinosus. Herpetologica 36, 6"
80,"Kramer, P., Reichenbach, N., Hayslett, M., & Sattler, P. (1993). Population dynamics and conservation of the Peaks of Otter salamander, Plethodon hubrichti. Journal of Herpetology, 431-435."
81,"Ash, A. N. (1988). Disappearance of salamanders from clearcut plots. Journal of the Elisha Mitchell Scientific Society, 116-122."
82,"Marvin, G. A. (1996). Life history and population characteristics of the salamander Plethodon kentucki with a review of Plethodon life histories. American Midland Naturalist, 385-400."
83,"Flint, W. D., & Harris, R. N. (2005). The efficacy of visual encounter surveys for population monitoring of Plethodon punctatus (Caudata: Plethodontidae). Journal of Herpetology, 39(4), 578-584."
84,"Semlitsch, R. D., O’Donnell, K. M., & Thompson III, F. R. (2014). Abundance, biomass production, nutrient content, and the possible role of terrestrial salamanders in Missouri Ozark forest ecosystems. Canadian Journal of Zoology, 92(12), 997-1004."
85,"O’Donnell, K. M., Thompson III, F. R., & Semlitsch, R. D. (2015). Partitioning detectability components in populations subject to within-season temporary emigration using binomial mixture models. PloS one, 10(3), e0117216."
86,"Lunghi, E., Manenti, R., Mulargia, M., Veith, M., Corti, C., & Ficetola, G. F. (2018). Environmental suitability models predict population density, performance and body condition for microendemic salamanders. Scientific reports, 8(1), 7527."
87,"Bonato, L., Fracasso, G., (2003). Movements, distribution pattern and density in a population of Salamandra atra aurorae (Caudata : Salamandridae). Amphibia-Reptilia 24, 251-260."
88,"Degani, G., Warburg, M.R., (1978). Population Structure and Seasonal Activity of the Adult Salamandra salamandra (L.) (Amphibia, Urodela, Salamandridae) in Israel. Journal of Herpetology 12, 437-444."
89,"Ficetola, G. F., Barzaghi, B., Melotto, A., Muraro, M., Lunghi, E., Canedoli, C., Lo Parrino, E., Nanni, V., Silvia-Rocha, I, Urso, A., Carretero, M.A., Salvi, D., Scali, S., Scarì, G., Pennati, R., Andreone, F., & Carretero, M. A. (2018). N-mixture models reliably estimate the abundance of small vertebrates. Scientific reports, 8(1), 10357."
90,"Nascetti, Andreone, Capula & Bullini, 1988. Number and movement of individuals, and influence of climate on activity in a population of the upper Po Valley. Herpetozoa 12, 3-10."
91,"Catenazzi, A. (1998). Ecologie d'une population de Salamandre tachetée au Sud des Alpes. Diploma thesis. Institut de Zoologie, Université de Neuchatel."
92,"Rebelo, R., Leclair, M.H., (2003). Site tenacity in the terrestrial salamandrid Salamandra salamandra. Journal of Herpetology 37, 440-445."
93,"Project Tiger"
94,"Pattaramanas, B., & Duengkae, P. (2021). Estimating on Population and Density of Cuvier’s Spiny Lizard (Acanthosaura lepidogaster) using Spatial Capture–recapture in Mae Sa–Kog Ma Biosphere Reserve, Chiang Mai Province (Doctoral dissertation, Kasetsart University)."
95,"Western, D. (1974). The distribution, density and biomass density of lizards in a semi–arid environment of northern Kenya*. African Journal of Ecology, 12(1), 49-62."
96,"Agarwal, I., Goyal, S. P., & Qureshi, Q. (2015). Lizards of the Thar Desert–Resource partitioning and community composition. Journal of Arid Environments, 118, 58-64."
97,"Erdelen, W. (1988). Population Dynamics and Dispersal in Three Species of Agamid Lizards in Sri Lanka: Calotes calotes, C. versicolor and C. nigrilabris. J. Herpetol., 22, 42–52."
98,"Jayasekara, D., Keerthirathna, L., & Mahaulpatha, D. (2020). Population densities and conservation assessment of three threatened agamid species in Horton Plains National Park, Sri Lanka. Journal of Wildlife and Biodiversity, 4(3), 70-79."
99,"Griffiths A.D. (1999). Demography and home range of the Frillneck Lizard, Chlamydosaurus kingii (Agamidae), in Northern Australia. Copeia, 1999: 1089-1096"
100,"Griffiths, A.D. (2006). Population size and habitat management of frillneck lizards in a suburban park: Yanyula Park, Darwin. Rep. to Darwin City Counc. Darwin City."
101,"Davidge, C. (1979). A census of a community of small terrestrial vertebrates. Australian Journal of Ecology, 4, 165-170."
102,"Johnston, G. (2000). Population density and habitat use in the Peninsula Dragon Lizard (Ctenophorus fionni). Herpetofauna, 30, 34–36."
103,"Bradshaw, S. (1971). Growth and mortality in a field population of Amphibolurus lizards exposed to seasonal cold and aridity. J. Zool., 165, 1–25."
104,"Kutt, a. S., Bateman, B.L. & Vanderduys, E.P. (2011). Lizard diversity on a rainforestsavanna altitude gradient in north-eastern Australia. Aust. J. Zool., 59, 86–94."
105,"Sreekar, R., Purushotham, C.B., Saini, K., Rao, S.N., Pelletier, S. & Chaplod, S. (2013). Photographic Capture-Recapture Sampling for Assessing Populations of the Indian Gliding Lizard Draco dussumieri. PLoS One, 8."
106,"Christian, K., Bedford, G., Green, B., Griffiths, A., Newgrain, K. & Schultz, T. (1999). Physiological ecology of a tropical dragon, Lophognathus temporalis. Aust. J. Ecol., 24, 171–181."
107,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168."
108,"Schmidt, B. R., Meier, A., Sutherland, C., & Royle, J. A. (2017). Spatial capture–recapture analysis of artificial cover board survey data reveals small scale spatial variation in slow-worm Anguis fragilis density. Royal Society Open Science, 4(9), 170374."
109,"Platenberg, R.J. & Griffiths, R. a. (1999). Translocation of slow-worms (Anguis fragilis) as a mitigation strategy: A case study from south-east England. Biol. Conserv., 90, 125–132."
110,"Lopez-Victoria, M. (2006). Los lagartos de Malpelo (Colombia): aspectos sobre su ecología y amenazas. Caldasia, 28, 129–134."
111,"Boback, S. M. (2005). Natural history and conservation of island boas (Boa constrictor) in Belize. Copeia, 2005(4), 879-884."
112,"Reynolds, R. G., & Gerber, G. P. (2012). Ecology and conservation of the Turks Island Boa (Epicrates chrysogaster chrysogaster: Squamata: Boidae) on Big Ambergris Cay. Journal of Herpetology, 46(4), 578-587."
113,"Randrianantoandro J.C. et al. (2008). Identifying important areas for the conservation of dwarf chameleons (Brookesia spp.) in Tsingy de Bemaraha National Park, western Madagascar. Oryx, 42, 578."
114,"Villeneuve, A. R. (2017). Habitat Selection and Population Density of the World’s Smallest Chameleon, Brookesia micra, on Nosy Hara, Madagascar. Herpetological Conservation and Biology, 12(2), 334-341."
115,"Lowin, A.J. (2012). Chameleon species composition and density estimates of three unprotected dry deciduous forests between Montagne d’Ambre Parc National and Ankarana Réserve Spéciale in northern Madagascar. Herpetol. Notes, 5, 107–113."
116,"Rabearivony, J., Brady, L.D., Jenkins, R.K.B. & Ravoahangimalala, O.R. (2007). Habitat use and abundance of a low-altitude chameleon assemblage in eastern Madagascar. Herpetol. J., 17, 247–254."
117,"Brady, L. D. and Griffiths, R, A. (1999). Status Assessment of Chameleons in Madagascar. IUCN Species Survival Commission. IUCN, Gland, Switzerland and Cambridge, UK."
118,"Jenkins, R.K.B. et al. (1999). The population status of chameleons within Ranomafana National Park, Madagascar, and recommendations for future monitoring. Oryx, 33, 38–46."
119,"Rakotondrina, A. J., Andriantsimanarilafy, R. R., Razafimanahaka, H. J., Raselimanana, A. P., Gumbs, R., Ofori-Boateng, C., Jody M Taft, J.M., Ratsoavina, F. M. (2024). New distribution records and population density of the Critically Endangered Tarzan Chameleon (Calumma tarzan), eastern Madagascar. African Journal of Herpetology, 73(1), 36-47"
120,"Karsten, K.B., Andriamandimbiarisoa, L.N., Fox, S.F. & Raxworthy, C.J. (2009). Population densities and conservation assessments for three species of chameleons in the Toliara region of south-western Madagascar. Amphibia-Reptilia, 30, 341–350."
121,"Vonesh, J.R. (2001). Patterns of richness and abundance in a tropical african Leaf-litter Herpetofauna. Biotropica, 33, 502–510."
122,"Daltry, J. C., Bloxam, Q., Cooper, G., Day, M. L., Hartley, J., Henry, M., Lindsay, K., Smith, B. E. (2001). Five years of conserving the ‘world's rarest snake’, the Antiguan racer Alsophis antiguae. Oryx, 35(2), 119-127."
123,"Rodda & Campbell. (2002). Distance sampling of forest snakes and lizards. Herpetological Review 33(4): 271-274"
124,"Hileman, E. T., Powell, R., Perry, G., Mougey, K., Thomas, R., & Henderson, R. W. (2017). Demography of the Puerto Rican Racer, Borikenophis portoricensis (Squamata: Dipsadidae), on Guana Island, British Virgin Islands. Journal of herpetology, 51(4), 454-460."
125,"Rodda, G.H., Perry, G., Rondeau, R.J. & Lazell, J.D. (2001). The densest terrestrial vertebrate. Journal of Tropical Ecology 17, 331–338."
126,"Rodda (2012). Population Size and Demographics. in McDiarmid, R. W., Foster, M. S., Guyer, C., Gibbons, J. W., & Chernoff, N. (Eds.). (2012). Reptile biodiversity: standard methods for inventory and monitoring. Univ of California Press."
127,"Graitson, E., Ursenbacher, S., & Lourdais, O. (2020). Snake conservation in anthropized landscapes: considering artificial habitats and questioning management of semi-natural habitats. European Journal of Wildlife Research, 66, 1-11."
128,"Williams, R. J., Ross, T., Morton, M., Daltry, J., & Isidore, L. (2016). Update on the natural history and conservation status of the Saint Lucia racer, Erythrolamprus ornatus Garman, 1887 (Squamata, Dipsadidae). Herpetology Notes, 9, 157-162."
129,"Luiselli, L., Rugiero, L., Capula, M., (2011). Are communal nesting counts as useful as mark-recapture data for estimating population size in snakes? Herpetological Journal 21, 73-81."
130,"Storniolo, F., Menichelli, S., & Zuffi, M. A. (2019). A long-term study of a snake community in north-western Tuscany (central Italy): population structure and density patterns. Herpetozoa, 32, 101."
131,"Hileman, E. T., Kapfer, J. M., Muehlfeld, T. C., & Giovanni, J. H. (2015). Recouping lost information when mark-recapture data are pooled: A case study of milksnakes (Lampropeltis triangulum) in the upper midwestern United States. Journal of Herpetology, 49(3), 428-436."
132,"Gerlach. (2008). Population and conservation status of the reptiles of the Seychelles islands. Phelsuma 16: 30-48"
133,"Hirth, H.F. (1963). The Ecology of Two Lizards on a Tropical Beach. Ecol. Monogr., 33, 83–112."
134,"Harris, B.R., Yorks, D.T., Bohnert, C. a., Parmerlee, J.S. & Powell, R. (2004). Population densities and structural habitats in lowland populations of Anolis lizards on Grenada. Caribb. J. Sci., 40, 31–40."
135,"Schoener T.W. & Schoener A. (1980). Densities, sex ratios, and population structure in four species of Bahamian Anolis lizards. The Journal of Animal Ecology 49: 19-53"
136,"Cast et al. (2000). Natural History of an Anoline Lizard Community in the Sierra de Baoruco, Dominican Republic. Caribbean Journal of Science, Vol. 36, No. 3-4, 258–266"
137,"Bennett, A. F., & Gorman, G. C. (1979). Population density and energetics of lizards on a tropical island. Oecologia, 42(3), 339-358."
138,"Heinen, L.T. (1992). Comparisons of the leaf litter herpetofauna in abandoned cacao plantation and primary rain forest in Costa Rica: some implications for faunal restoration. Biotropica, 24, 431–439."
139,"Avilés-Rodríguez, K. J., De León, L. F., & Revell, L. J. (2022). Population density of the tropical lizard Anolis cristatellus in urban and forested habitats after a major hurricane. Tropical Ecology, 1-11."
140,"McLaughlin, J.F. & Roughgarden, J. (1989). Avian Predation on Anolis Lizards in the Northeastern Caribbean: Inter-Island Contrast. Ecology, 70, 617–628."
141,"Jenssen, T.A. (1973). Shift in the Structural Habitat of Anolis Opalinus Due to Congeneric Competition. Ecology, 54, 863–869."
142,"Murton, E.M. (2008). The Abundance and Distribution of reptiles on a small tropical island : Implications for the conservation of reptile communities. M.Sc. Thesis. Imperial College London."
143,"Herrel, A., DaCosta Cottam, M., Godbeer, K., Sanger, T. & Losos, J.B. (2011). An Ecomorphological Analysis of Native and Introduced Populations of the Endemic Lizard Anolis maynardi of the Cayman Islands. Breviora, 522, 1–10."
144,"Siliceo-Cantero, H.H., Zúñiga-Vega, J.J., Renton, K., & García, A. (2017). Assessing the relative importance of intraspecific and interspecific interactions on the ecology of Anolis nebulosus lizards from an island vs. mainland population. Herpetological Conservation and Biology, 12(3), 673-682."
