"","ID","cv_window","cv_value","k_cv_value","full_length","species_names","Binomial","Replicate","Excluded_LPR_2022","Citation","Class","Order","Family","Genus","Species","Subspecies","Authority","Common_name","Location","Country","All_countries","Region","IPBES_region","IPBES_subregion","Latitude","Longitude","Specific_location","System","T_realm","T_biome","FW_realm","FW_biome","M_realm","M_ocean","M_biome","Migratory_fw_fish","Units","Method","start_year","end_year","unique_years","is_continuous","new_species","PValue_lm","PValue_mk","DetrendNeeded_lm","DetrendNeeded_mk","GBIF_ID"
"11",164,6,0.444541953796441,0.402460333846704,FALSE,"Tragelaphus buxtoni","Tragelaphus_buxtoni",1,0," Stephens, P. A., C. A. d'Sa, et al. (2001). ""Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia."" Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","buxtoni","NULL","Lydekker, 1910","Mountain nayala","Gojera, Bale Mountains National Park, Ethiopia","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7.16667,39.75,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Mean encounter rate /km-1","Road count",1986,1991,6,TRUE,"Tragelaphus buxtoni",0.897176088097832,0.848311702520237,FALSE,FALSE,5220178
"12",165,6,1.15724755135491,0.73341749944026,FALSE,"Tragelaphus buxtoni","Tragelaphus_buxtoni",1,0," Stephens, P. A., C. A. d'Sa, et al. (2001). ""Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia."" Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","buxtoni","NULL","Lydekker, 1910","Mountain nayala","Sanetti Plateau, Bale Mountains National Park, Ethiopia","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7.16667,39.75,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Mean encounter rate /km-1","Road count",1986,1992,7,TRUE,"Tragelaphus buxtoni",0.472757784254691,0.750823518899001,FALSE,FALSE,5220178
"13",169,4,0.186088717001179,0.182206154340644,FALSE,"Tragelaphus scriptus","Tragelaphus_scriptus",0,0," Stephens, P. A., C. A. d'Sa, et al. (2001). ""Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia."" Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","scriptus","NULL","Pallas, 1766","Bushbuck","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7.16667,39.71667,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Mean encounter rate /km-1","Road count",1983,1993,11,TRUE,"Tragelaphus scriptus",0.0000194475368936602,0.00136684600686612,TRUE,TRUE,5220182
"14",173,5,0.127481074778236,0.125629171705959,FALSE,"Tragelaphus strepsiceros","Tragelaphus_strepsiceros",1,0," Owen-Smith, N. (1990). ""Demography of a Large Herbivore, the Greater Kudu Tragelaphus-Strepsiceros, in Relation to Rainfall."" Journal of Animal Ecology 59(3): 893-913.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","strepsiceros","NULL","Pallas, 1766","Greater kudu","Pretorius Kop, Kruger National Park, South Africa","South Africa","South Africa","Africa","Africa","Southern Africa",-23.83333,31.5,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Density of individuals per square km","Total count - observations",1974,1984,11,TRUE,"Tragelaphus strepsiceros",0.0150404859421003,0.119470986771701,TRUE,FALSE,5220183
"15",174,5,0.161588366557018,0.15911937724143,FALSE,"Tragelaphus strepsiceros","Tragelaphus_strepsiceros",1,0," Owen-Smith, N. (1990). ""Demography of a Large Herbivore, the Greater Kudu Tragelaphus-Strepsiceros, in Relation to Rainfall."" Journal of Animal Ecology 59(3): 893-913.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","strepsiceros","NULL","Pallas, 1766","Greater kudu","Tshokwane, Kruger National Park, South Africa","South Africa","South Africa","Africa","Africa","Southern Africa",-23.83333,31.5,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals per square km","Total count - observations",1974,1984,11,TRUE,"Tragelaphus strepsiceros",0.513667436434317,0.390364962548806,FALSE,FALSE,5220183
"16",196,3,0.426708393989934,0.370518444699395,FALSE,"Setonix brachyurus","Setonix_brachyurus",0,0," Short, J., S. D. Bradshaw, et al. (1992). ""Reintroduction of macropods (Marsupialia: Macropoidea) in Australia- A review."" Biological Conservation. 62: 189-204.","Mammalia","Diprotodontia","Macropodidae","Setonix","brachyurus","NULL","Quoy and Gaimard, 1830","Quokka","Jandakot, Western Australia","Australia","Australia","Oceania","Asia and the Pacific","Oceania",-32.11667,115.85,0,"Terrestrial","Australasia","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population estimate - number of individuals","Trapping",1977,1987,11,TRUE,"Setonix brachyurus",0.0128736269911029,0.0154909404828918,TRUE,TRUE,2440110
"17",197,3,0.199878907082427,0.192399844410358,FALSE,"Trichosurus vulpecula","Trichosurus_vulpecula",0,0," Tasmanian Parks and Wildlife Service (1996). Management program for the Brushtail possum Trichosurus vulpecula (Kerr) in Tasmania - Review of background information. D. o. t. E. a. Heritage. Canberra, ACT, Australia, Department of the Environment and Heritage.","Mammalia","Diprotodontia","Phalangeridae","Trichosurus","vulpecula","NULL","Kerr, 1792","Common brush-tailed possum","Tasmania, Australia","Australia","Australia","Oceania","Asia and the Pacific","Oceania",-42,147,0,"Terrestrial","Australasia","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Average count per route","Spotlight survey - fixed transect",1975,1995,21,TRUE,"Trichosurus vulpecula",0.000047386625208269,0.00105012404881856,TRUE,TRUE,2440254
"18",539,7,0.0955863772045668,0.0950241177336787,FALSE,"Capra ibex","Capra_ibex",1,0," Jacobson, A. R., A. Provenzale, et al. (2004). ""Climate forcing and density dependence in a mountain ungulate population."" Ecology 85: 1598-1610.","Mammalia","Artiodactyla","Bovidae","Capra","ibex","NULL","(Linnaeus, 1758)","Alpine ibex","Gran Paradiso NP, NW Italy","Italy","Italy","Europe","Europe and Central Asia","Central and Western Europe",45.41667,7.56667,1,"Terrestrial","Palearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals","Observed total ibex -  fall census",1956,2000,45,TRUE,"Capra ibex",0.0000383444268107193,0.00035577241203183,TRUE,TRUE,2441055
"19",552,3,0.944288524511456,0.661062753529221,FALSE,"Myodes rufocanus","Myodes_rufocanus",0,0," Saitoh, T., N. C. Stenseth, et al. (1997). ""Density dependence in fluctuating grey-sided vole populations."" Journal of Animal Ecology 66(1): 14-24.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Rodentia","Cricetidae","Myodes","rufocanus","","Sundevall, 1846","Grey-sided vole / Grey red-backed vole","District 15, Hokkaido, Japan","Japan","Japan","Asia","Asia and the Pacific","North-East Asia",43.5,143,1,"Terrestrial","Palearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Abundance index","Trapping  - census, autumn survey",1962,1992,31,TRUE,"Myodes rufocanus",0.897518782675276,0.878406278003394,FALSE,FALSE,5706769
"20",553,3,0.90993680947557,0.629301664495807,FALSE,"Myodes rufocanus","Myodes_rufocanus",0,0," Saitoh, T., N. C. Stenseth, et al. (1997). ""Density dependence in fluctuating grey-sided vole populations."" Journal of Animal Ecology 66(1): 14-24.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Rodentia","Cricetidae","Myodes","rufocanus","","Sundevall, 1846","Grey-sided vole / Grey red-backed vole","District 39, Hokkaido, Japan","Japan","Japan","Asia","Asia and the Pacific","North-East Asia",43.5,143,1,"Terrestrial","Palearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Abundance index","Trapping census - Autumn",1962,1992,31,TRUE,"Myodes rufocanus",0.11709750841495,0.158272210987633,FALSE,FALSE,5706769
"21",554,3,1.01633164946064,0.669434833354765,FALSE,"Myodes rufocanus","Myodes_rufocanus",0,0," Kataev, G. D. (2003). Cyclicity in the lemming and vole numbers in the Northern Taiga of the Kola Peninsula. Arctic Birds: Newsletter of International Wader Study Group. M. Soloviev and P. Tomkovich. 5: 38-40.","Mammalia","Rodentia","Cricetidae","Myodes","rufocanus","","Sundevall, 1846","Grey-sided vole / Grey red-backed vole","Laplandsky Nature Reserve, Murmansk Oblast","Russian Federation","Russian Federation","Asia","Europe and Central Asia","Eastern Europe",67.65,32.6,1,"Terrestrial","Palearctic","Tundra","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals per 1000 trap nights","Trapping",1950,1978,29,TRUE,"Myodes rufocanus",0.406597604102101,0.301704909438399,FALSE,FALSE,5706769
"22",575,3,0.925516072972444,0.595907922952945,FALSE,"Lemmus lemmus","Lemmus_lemmus",0,0," Krasnov, Y. V. (2003). Long-term fluctuations of Norwegian lemming numbers on Kharlov Island, Sem' Ostrovov Archipelago, Eastern Murman Coast. . Arctic Birds: Newsletter of International Wader Study Group. M. Soloviev and P. Tomkovich. 5: 37.","Mammalia","Rodentia","Cricetidae","Lemmus","lemmus","","(Linnaeus, 1758)","Norway lemming","Kharlov Island","Russian Federation","Russian Federation","Asia","Europe and Central Asia","Eastern Europe",68.8,37.34528,1,"Terrestrial","Palearctic","Tundra","NULL","NULL","NULL","NULL","NULL",0,"Lemming abundance rank","Observation",1978,1999,22,TRUE,"Lemmus lemmus",0.24501691158118,0.388303548756501,FALSE,FALSE,5219840
"23",606,4,0.235346574078074,0.228015616648186,FALSE,"Pipistrellus pipistrellus","Pipistrellus_pipistrellus",0,0," Gerell, R. and K. Gerell Lundberg (1993). ""Decline of a bat Pipistellus pipistrellus population in an industrialized area in south Sweden."" Biological Conservation 65: 153-157.","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","pipistrellus","NULL","Schreber, 1774","Common pipistrelle","Vombs Fure, Sweden","Sweden","Sweden","Europe","Europe and Central Asia","Central and Western Europe",55.64955,13.57847,1,"Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL",0,"Total number of individuals","Box traps",1981,1987,7,TRUE,"Pipistrellus pipistrellus",0.216235883685432,0.136,FALSE,FALSE,5218465
"24",623,3,0.173069254911755,0.167371206659837,FALSE,"Saiga tatarica","Saiga_tatarica",0,0," Bekenov, A. B., I. U. A. Grachevand, et al. (1998). ""The ecology and management of the Saiga antelope in Kazakhstan."" Mammal Review. 28(1): 1-52.| Milner-Gulland, E. J., M. V. Kholodova, et al. (2001). ""Dramatic declines in saiga antelope populations."" Oryx 35(4): 340-345.","Mammalia","Artiodactyla","Bovidae","Saiga","tatarica","NULL","Linnaeus, 1766","Saiga antelope","Betpak-dala, Central Kazakhstan","Kazakhstan","Kazakhstan","Asia","Europe and Central Asia","Central Asia",46.03333,70.2,0,"Terrestrial","Palearctic","Deserts and xeric shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals","Aerial survey - census",1976,1996,21,TRUE,"Saiga tatarica",0.0484278392295386,0.056891538814935,TRUE,FALSE,2441067
"25",624,3,0.132903893734558,0.130727929043309,FALSE,"Saiga tatarica","Saiga_tatarica",0,0," Bekenov, A. B., I. U. A. Grachevand, et al. (1998). ""The ecology and management of the Saiga antelope in Kazakhstan."" Mammal Review. 28(1): 1-52.| Milner-Gulland, E. J., M. V. Kholodova, et al. (2001). ""Dramatic declines in saiga antelope populations."" Oryx 35(4): 340-345.","Mammalia","Artiodactyla","Bovidae","Saiga","tatarica","","Linnaeus, 1766","Saiga antelope","Ustiurt, Kazakhstan","Kazakhstan","Kazakhstan","Asia","Europe and Central Asia","Central Asia",45.83333,58,0,"Terrestrial","Palearctic","Deserts and xeric shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals","Aerial count - census",1979,1994,16,TRUE,"Saiga tatarica",0.00150728368244283,0.00269064880999023,TRUE,TRUE,2441067
"26",625,3,0.296509827654211,0.260700978297394,FALSE,"Saiga tatarica","Saiga_tatarica",0,0," Bekenov, A. B., I. U. A. Grachevand, et al. (1998). ""The ecology and management of the Saiga antelope in Kazakhstan."" Mammal Review. 28(1): 1-52.| Milner-Gulland, E. J., M. V. Kholodova, et al. (2001). ""Dramatic declines in saiga antelope populations."" Oryx 35(4): 340-345.","Mammalia","Artiodactyla","Bovidae","Saiga","tatarica","","Linnaeus, 1766","Saiga antelope","Ural, Kazakhstan","Kazakhstan","Kazakhstan","Asia","Europe and Central Asia","Central Asia",47,49.8,0,"Terrestrial","Palearctic","Deserts and xeric shrublands","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals","Aerial count - census",1977,1994,18,TRUE,"Saiga tatarica",0.012028838261621,0.0336533332132206,TRUE,TRUE,2441067
"27",632,11,0.0905761083118163,0.0898281759541405,FALSE,"Ursus arctos","Ursus_arctos",0,0,"IUCN/SSC Bear and Polar Bear Specialist Groups (1998). Brown bear conservation action plan for Europe (Ursus arctos). Bears. Status survey and conservation action plan. C. Servheen, S. Herrero and B. Peyton, IUCN, Gland, Switzerland: 55-192.","Mammalia","Carnivora","Ursidae","Ursus","arctos","","Linnaeus, 1758","Grizzly bear / Brown bear","Romania","Romania","Romania","Europe","Europe and Central Asia","Central and Western Europe",46,25,0,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals","Estimate",1973,1993,21,TRUE,"Ursus arctos",0.000000345847100927215,0.00000286144113158582,TRUE,TRUE,2433433
"28",1359,3,1.20925650314542,0.727284921366278,FALSE,"Neomys fodiens","Neomys_fodiens",0,0," Sheftel, B. (1989). ""Long-term and seasonal dynamics of shrews in central Siberia. ."" Annales Zoologici Fennici. 26: 357-369.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Soricomorpha","Soricidae","Neomys","fodiens","NULL","(Pennant, 1771)","European shrew / Eurasian shrew","West Bank Yenisei/Yenisey River, Russia","Russian Federation","Russian Federation","Asia","Europe and Central Asia","Eastern Europe",58.45,92.21667,1,"Freshwater","NULL","NULL","Palearctic","Polar freshwaters","NULL","NULL","NULL",0,"Number of individuals per 100 trap nights","Trapping and killing using dug ditches",1973,1983,11,TRUE,"Neomys fodiens",0.436848885299178,0.262841005772776,FALSE,FALSE,2435767
"29",1360,3,0.732749309319172,0.561823850752664,FALSE,"Neomys fodiens","Neomys_fodiens",0,0," Sheftel, B. (1989). ""Long-term and seasonal dynamics of shrews in central Siberia. ."" Annales Zoologici Fennici. 26: 357-369.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Soricomorpha","Soricidae","Neomys","fodiens","NULL","(Pennant, 1771)","European shrew / Eurasian shrew","East Bank Yenisei/Yenisey River, Russia","Russian Federation","Russian Federation","Asia","Europe and Central Asia","Eastern Europe",58.45,92.21667,1,"Freshwater","NULL","NULL","Palearctic","Polar freshwaters","NULL","NULL","NULL",0,"Number of individuals per 100 trap nights","Trapping and killing using dug ditches",1973,1983,11,TRUE,"Neomys fodiens",0.218631860606576,0.58464795727138,FALSE,FALSE,2435767
"30",1939,11,0.122225108918483,0.121103517959505,FALSE,"Arctocephalus pusillus","Arctocephalus_pusillus",0,0," NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Carnivora","Otariidae","Arctocephalus","pusillus","NULL","(Schreber, 1775)","Cape fur seal","South Africa","South Africa","South Africa","Africa","NULL","NULL",-30.68333,26.01667,0,"Marine","NULL","NULL","NULL","NULL","Atlantic tropical and subtropical","South Atlantic Ocean","Temperate upwelling",0,"Number of individuals","Unknown",1950,1979,30,TRUE,"Arctocephalus pusillus",0.00000000000396577020129126,0.0000000188093782149117,TRUE,TRUE,2433475
"31",1955,12,0.239753669921834,0.23280841931915,FALSE,"Halichoerus grypus","Halichoerus_grypus",1,0," Duck, C. (2002). Annex II - Pup Production in the British Grey Seal Population. UK Special Committee on Seals, Scientific Advice on Matters Related to the Management of Seal Populations.","Mammalia","Carnivora","Phocidae","Halichoerus","grypus","","(Fabricius, 1791)","Grey seal","Ceann Ear (Monachs) (island of the Outer Hebrides)","United Kingdom","United Kingdom","Europe","NULL","NULL",57.52472,-7.60972,1,"Marine","NULL","NULL","NULL","NULL","Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Pup production estimates for islands in the Outer Hebrides group","Counts from aerial survey photographs",1984,2001,18,TRUE,"Halichoerus grypus",0.00000439631168746242,0.000205616047628158,TRUE,TRUE,2434806
"32",1961,12,0.196449585810741,0.18951298803496,FALSE,"Halichoerus grypus","Halichoerus_grypus",1,0," Duck, C. (2002). Annex II - Pup Production in the British Grey Seal Population. UK Special Committee on Seals, Scientific Advice on Matters Related to the Management of Seal Populations.","Mammalia","Carnivora","Phocidae","Halichoerus","grypus","","(Fabricius, 1791)","Grey seal","Eilean nan Eion (island of the Inner Hebrides)","United Kingdom","United Kingdom","Europe","NULL","NULL",55.99,-6.24,1,"Marine","NULL","NULL","NULL","NULL","Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Pup production estimates for islands in the Inner Hebrides group","Counts from aerial survey photographs",1984,2001,18,TRUE,"Halichoerus grypus",0.000409996029976544,0.0582402695915613,TRUE,FALSE,2434806
"33",1965,12,0.172516654400643,0.169226102182466,FALSE,"Halichoerus grypus","Halichoerus_grypus",1,0," Duck, C. (2002). Annex II - Pup Production in the British Grey Seal Population. UK Special Committee on Seals, Scientific Advice on Matters Related to the Management of Seal Populations.","Mammalia","Carnivora","Phocidae","Halichoerus","grypus","NULL","(Fabricius, 1791)","Grey seal","Farne Islands","United Kingdom","United Kingdom","Europe","NULL","NULL",55.63306,1.61694,1,"Marine","NULL","NULL","NULL","NULL","Atlantic north temperate","North Sea and Baltic Sea","Unknown",0,"Pup production estimates.","Counts from aerial survey photographs",1956,2001,46,TRUE,"Halichoerus grypus",0.0585541132814381,0.248001130182165,FALSE,FALSE,2434806
