"","Species","GBIF_ID","mean_body_mass"
"140","Alticola strelzowi",2438719,49.9975
"141","Amblysomus corriae",5218448,64.8
"142","Amblysomus hottentotus",5218439,67.4
"143","Amblysomus marleyi",5218446,64.8
"144","Amblysomus robustus",5218438,64.8
"145","Amblysomus septentrionalis",5218447,64.8
"146","Ametrida centurio",2433235,11.305
"147","Ammodillus imbellis",2438331,49.99
"148","Ammodorcas clarkei",2441128,28274.905
"149","Ammospermophilus harrisii",2437568,128
"150","Ammospermophilus insularis",2437572,101.99
"151","Ammospermophilus interpres",2437571,111.365
"152","Ammospermophilus leucurus",2437570,96.1166666666667
"153","Ammospermophilus nelsoni",2437569,157.46
"154","Ammotragus lervia",2441005,92500
"155","Amorphochilus schnablii",2432771,4.15
"156","Anathana ellioti",2436266,160
"157","Andalgalomys olrogi",2438727,32.9
"158","Andalgalomys pearsoni",2438726,25.4
"159","Andinomys edax",2438956,69.75
"160","Anisomys imitator",2438052,510.5
"161","Anomalurus beecrofti",5219881,434.035
"162","Anomalurus derbianus",5219879,770
"163","Anomalurus pelii",5219882,1650
"164","Anomalurus pusillus",5219880,250
"165","Anonymomys mindorensis",2437876,56.21
"166","Anotomys leander",2438903,66.39
"167","Anoura caudifer",5963040,11.2275
"168","Anoura cultrata",5963042,17.39
"169","Anoura geoffroyi",5963041,15.1
"170","Anoura latidens",5963038,14.33
"171","Anourosorex assamensis",2435783,20
"172","Anourosorex schmidi",2435782,20
"173","Anourosorex squamipes",2435780,20
"174","Anourosorex yamashinai",2435781,20
"175","Antechinomys laniger",2435419,24.6666666666667
"176","Antechinus agilis",2435369,22.125
"177","Antechinus bellus",2435372,35.18332529
"178","Antechinus flavipes",2435366,45.3883333333333
"179","Antechinus godmani",2435376,75.74
"180","Antechinus leo",2435371,62.045387955
"181","Antechinus minimus",2435375,47.277616735
"182","Antechinus stuartii",2435370,25.06533686
"183","Antechinus swainsonii",2435377,59.3207004633333
"184","Anthops ornatus",2432610,17.94
"185","Antidorcas marsupialis",2441064,30735.62
"186","Antilocapra americana",2440902,40917.7861433333
"187","Antilope cervicapra",2441065,37500
"188","Antrozous pallidus",2432339,22
"189","Aonyx capensis",2433900,21411.11
"190","Aonyx cinerea",2433894,3000
"191","Aotus azarae",5707409,1230
"192","Aotus hershkovitzi",5219594,800
"193","Aotus lemurinus",5219591,887
"194","Aotus miconax",5219592,800
"195","Aotus nancymaae",5219589,791.03
"196","Aotus nigriceps",5219595,1057
"197","Aotus trivirgatus",5219590,878.365888866667
"198","Aotus vociferans",5219597,872.995
"199","Aplodontia rufa",2439690,703.6
"200","Apodemus agrarius",2437761,21.2
"201","Apodemus alpicola",2437769,29.375
"202","Apodemus argenteus",5219736,23.4
"203","Apodemus chevrieri",5219743,21.2
"204","Apodemus draco",5219737,23.4
"205","Apodemus epimelas",4264851,42.3
"206","Apodemus flavicollis",2437756,28.125
"207","Apodemus gurkha",5219738,29.375
"208","Apodemus latronum",5219739,29.4
"209","Apodemus mystacinus",2437773,41.35
"210","Apodemus pallipes",5706748,23.39
"211","Apodemus peninsulae",5219734,29.4
"212","Apodemus ponticus",5219740,29.375
"213","Apodemus rusiges",5219735,24.8
"214","Apodemus semotus",5219741,23.6
"215","Apodemus speciosus",5219745,43.75
"216","Apodemus sylvaticus",2437760,23.5666666666667
"217","Apodemus uralensis",2437775,23.39
"218","Apodemus witherbyi",5706747,20.565
"219","Apomys abrae",2438430,34.88
"220","Apomys datae",2438427,34.88
"221","Apomys hylocetes",4264812,34.88
"222","Apomys insignis",2438429,34.88
"223","Apomys littoralis",2438432,30.95
"224","Apomys microdon",2438428,34.98
"225","Apomys musculus",2438426,21.2
"226","Apomys sacobianus",2438431,34.88
"227","Aproteles bulmerae",2432939,623.91
"228","Arborimus albipes",2437933,23
"229","Arborimus longicaudus",2437931,22.39
"230","Arborimus pomo",2437932,28.0225
"231","Archboldomys luzonensis",2437704,35.34
"232","Arctictis binturong",2434615,13426.6633333333
"233","Arctocebus aureus",2436631,257.5
"234","Arctocebus calabarensis",2436632,239.851560633333
"235","Arctocephalus australis",2433480,88989.715
"236","Arctocephalus forsteri",2433474,67979.43
"237","Arctocephalus galapagoensis",2433473,45000
"238","Arctocephalus gazella",2433472,54239.715
"239","Arctocephalus philippii",2433470,98031.85
"240","Arctocephalus pusillus",2433475,127551
"241","Arctocephalus tropicalis",2433471,63058.000145
"242","Arctogalidia trivirgata",2434742,2170
"243","Arctonyx collaris",2433743,10500
"244","Ardops nichollsi",2433277,19.23
"245","Arielulus circumdatus",4265946,10.4
"246","Arielulus cuprosus",4265949,6.91
"247","Arielulus societatis",4265947,8.72
"248","Ariteus flavescens",2433307,10.09
"249","Artibeus amplus",2433266,61.04
"250","Artibeus anderseni",2433273,6.91
"251","Artibeus aztecus",2433261,16.755
"252","Artibeus cinereus",2433267,12.7
"253","Artibeus concolor",2433274,19.6875
"254","Artibeus fimbriatus",2433268,63.8975
"255","Artibeus fraterculus",2433275,45.65
"256","Artibeus glaucus",2433262,12.505
"257","Artibeus gnomus",4265331,12.31
"258","Artibeus hirsutus",2433263,40.42
"259","Artibeus inopinatus",2433269,18.99
"260","Artibeus jamaicensis",2433272,44.5
"261","Artibeus lituratus",2433270,57.9
"262","Artibeus obscurus",2433259,45.65
"263","Artibeus phaeotis",2433264,11.69
"264","Artibeus toltecus",2433260,14.085
"265","Artibeus watsoni",4265337,12.31
"266","Arvicanthis abyssinicus",2438915,73.34
"267","Arvicanthis ansorgei",4264809,95.8
"268","Arvicanthis blicki",2438918,100.67
"269","Arvicanthis nairobae",2438916,73.34
"270","Arvicanthis neumanni",2438917,73.34
"271","Arvicanthis niloticus",9733997,80.15
"272","Arvicanthis rufinus",4264810,89.84
"273","Arvicola amphibius",4265185,107.816666666667
"274","Arvicola sapidus",2438492,120
"275","Arvicola scherman",4265186,97.5
"276","Arvicola terrestris",2438491,120
"277","Asellia patrizii",2432601,8.72
"278","Asellia tridens",2432602,10
"279","Aselliscus stoliczkanus",2432598,6.09
"280","Aselliscus tricuspidatus",2432599,4.14
"281","Atelerix albiventris",2437140,466.666666666667
"282","Atelerix algirus",2437136,824.49
"283","Atelerix frontalis",2437132,319.06
"284","Atelerix sclateri",2437135,392
"285","Ateles belzebuth",2436642,7113.71
"286","Ateles chamek",2436646,7294.46
"287","Ateles fusciceps",2436641,7818.504686
"288","Ateles geoffroyi",2436643,7223.5479425
"289","Ateles hybridus",4267251,6692.42
"290","Ateles marginatus",2436644,6229.28
"291","Ateles paniscus",2436645,7887.5
"292","Atelocynus microtis",2434454,9500
"293","Atherurus africanus",5219892,2875.65
"294","Atherurus macrourus",5219891,2000
"295","Atilax paludinosus",2434188,3300
"296","Atlantoxerus getulus",2437470,250.57
"297","Auliscomys boliviensis",2438834,75.3275
"298","Auliscomys pictus",2438835,48.97
"299","Auliscomys sublimis",2438833,38
"300","Avahi laniger",2436426,1093.355
"301","Avahi occidentalis",4267338,1092.28
"302","Axis axis",2440934,49250
"303","Axis calamianensis",5220130,39812.6
"304","Axis kuhlii",5220129,43000
"305","Axis porcinus",5220128,32224.145
"306","Babyrousa babyrussa",2441209,82225.045
"307","Babyrousa bolabatuensis",4262910,92950.09
"308","Babyrousa celebensis",4262912,92950.09
"309","Babyrousa togeanensis",4262911,92950.09
"310","Baiomys musculus",2438865,8.495
"311","Baiomys taylori",2438866,7.57666666666667
"312","Balaena mysticetus",2440330,90000000
"313","Balaenoptera acutorostrata",2440728,8698459.3195
"314","Balaenoptera bonaerensis",7759914,7500000
"315","Balaenoptera borealis",2440709,20000000
"316","Balaenoptera edeni",2440714,18000000
"317","Balaenoptera musculus",2440735,142500000
"318","Balaenoptera physalus",2440718,54400000
"319","Balantiopteryx infusca",2433134,9.05
"320","Balantiopteryx io",2433133,3.97
"321","Balantiopteryx plicata",2433132,6.285
"322","Balionycteris maculata",2432945,14.43
"323","Bandicota bengalensis",2437727,173.415
"324","Bandicota indica",2437729,200
"325","Bandicota savilei",2437728,260.63
"326","Barbastella barbastellus",2432582,10
"327","Barbastella leucomelas",2432581,10
"328","Bassaricus sumichrasti",2433551,1100
"329","Bassaricyon alleni",2433586,1238.75
"330","Bassaricyon beddardi",2433583,1235.01
"331","Bassaricyon gabbii",2433585,1238.75
"332","Bassaricyon lasius",2433582,1200
"333","Bassaricyon pauli",2433584,1200
"334","Bassariscus astutus",2433557,940.185
"335","Bassariscus sumichrasti",2433551,1093
"336","Bathyergus janetta",2437223,516.75
"337","Bathyergus suillus",2437222,688.2
"338","Batomys dentatus",2437748,213.39
"339","Batomys granti",2437750,169.53
"340","Batomys salomonseni",2437749,185.76
"341","Bauerus dubiaquercus",4265862,22.22
"342","Bdeogale crassicauda",2434117,1646.065
"343","Bdeogale jacksoni",2434124,2500
"344","Bdeogale nigripes",2434123,2311.505
"345","Beamys hindei",2437732,88.735
"346","Beatragus hunteri",4262734,119000
"347","Belomys pearsonii",2437241,217
"348","Berardius arnuxii",2440387,7000000
"349","Berardius bairdii",2440388,11390000
"350","Berylmys bowersi",2438965,358.68
"351","Bettongia gaimardi",2440025,1428.783967
"352","Bettongia lesueur",2440023,1373.5701185
"353","Bettongia penicillata",2440026,1099.63055633333
"354","Bettongia tropica",2440024,1184.35
"355","Bibimys chacoensis",2439030,28
"356","Bibimys torresi",2439028,28
"357","Bison bison",2441176,607389.0751
"358","Bison bonasus",2441184,617288.535
"359","Blarina brevicauda",2435862,19.5666666666667
"360","Blarina carolinensis",2435875,15.325
"361","Blarina hylophaga",2435859,16.53
"362","Blarina peninsulae",2435879,20.45
"363","Blarinella griselda",2435764,12.5
"364","Blarinella quadraticauda",2435765,12.5
"365","Blarinella wardi",2435763,12.5
"366","Blarinomys breviceps",2439095,36.79
"367","Blastocerus dichotomus",2440963,102500
"368","Bos frontalis",2441025,818785.7625
"369","Bos gaurus",2441026,850000
"370","Bos grunniens",2441019,625250
"371","Bos javanicus",2441027,691666.6675
"372","Bos sauveli",2441018,795660.88
"373","Bos taurus",2441022,504843.49985
"374","Boselaphus tragocamelus",2441133,180000
"375","Brachylagus idahoensis",2436688,431.595
"376","Brachyphylla cavernarum",5218760,45
"377","Brachyphylla nana",5218761,45
"378","Brachytarsomys albicauda",2438951,200
"379","Brachytarsomys villosa",4263420,209.995
"380","Brachyteles arachnoides",2436666,11004.9525
"381","Brachyteles hypoxanthus",4267243,10839.905
"382","Brachyuromys betsileoensis",2439207,93.58
"383","Brachyuromys ramirohitra",2439208,92.31
"384","Bradypus torquatus",2436351,4184.21
"385","Bradypus tridactylus",2436361,3540.526772
"386","Bradypus variegatus",2436353,3884.39333333333
"387","Brucepattersonius iheringi",4265067,43
"388","Bubalus bubalis",7422937,776125.2425
"389","Bubalus depressicornis",8085503,180497.3175
"390","Bubalus mindorensis",7349281,243861.535
"391","Bubalus quarlesi",7846959,165859.43
"392","Budorcas taxicolor",2441046,237257.665
"393","Bullimus bagobus",2437852,324.455
"394","Bullimus luzonicus",2437853,388.57
"395","Bunolagus monticularis",2436681,1500.005
"396","Bunomys chrysocomus",5219843,111.29
"397","Bunomys coelestis",5219848,111.29
"398","Bunomys fratrorum",5219845,130.31
"399","Bunopithecus hoolock",4267262,6699
"400","Burramys parvus",2440237,43.9106800233333
"401","Cabassous centralis",2440806,3540
"402","Cabassous chacoensis",2440810,1490.01
"403","Cabassous tatouay",2440811,5349.95
"404","Cabassous unicinctus",2440807,3987.97
"405","Cacajao calvus",2436410,3293.02
"406","Cacajao melanocephalus",2436409,3121.58
"407","Caenolestes caniventer",2433364,40
"408","Caenolestes condorensis",2433363,48
"409","Caenolestes convelatus",2433360,35.78
"410","Caenolestes fuliginosus",2433365,31.32
"411","Calcochloris obtusirostris",2432190,24.05
"412","Callicebus baptista",2436400,904.065
"413","Callicebus barbarabrownae",2436391,1390.8
"414","Callicebus brunneus",2436401,958.13
"415","Callicebus caligatus",2436384,992.4
"416","Callicebus cinerascens",2436390,992.4
"417","Callicebus coimbrai",2436383,1390.8
"418","Callicebus cupreus",8755067,1037.575
"419","Callicebus discolor",9134962,1037.575
"420","Callicebus donacophilus",2436399,846.335
"421","Callicebus dubius",2436403,992.4
"422","Callicebus hoffmannsi",2436382,904.065
"423","Callicebus lucifer",2436396,1129.785
"424","Callicebus lugens",2436387,1129.785
"425","Callicebus medemi",2436402,1129.785
"426","Callicebus melanochir",2436393,1390.8
"427","Callicebus modestus",2436380,992.4
"428","Callicebus moloch",2436388,913.0563912
"429","Callicebus nigrifrons",2436404,1390.8
"430","Callicebus oenanthe",2436381,992.4
"431","Callicebus olallae",2436389,992.4
"432","Callicebus ornatus",2436385,1037.575
"433","Callicebus pallescens",2436377,846.335
"434","Callicebus personatus",2436398,1390.8
"435","Callicebus purinus",2436379,1129.785
"436","Callicebus regulus",2436397,1129.785
"437","Callicebus torquatus",2436394,1129.785
"438","Callimico goeldii",2436464,561.1776674
"439","Callistomys pictus",4263000,518.99
"440","Callithrix argentata",5219540,349.61472125
"441","Callithrix aurita",8827576,272.705
"442","Callithrix chrysoleuca",5707300,343.33
"443","Callithrix emiliae",5707293,350.225
"444","Callithrix flaviceps",5219543,290.21
"445","Callithrix geoffroyi",5219539,299.605
"446","Callithrix humeralifera",9198990,299.605
"447","Callithrix intermedia",5707301,343.2
"448","Callithrix jacchus",5219542,256.066666666667
"449","Callithrix kuhlii",5219538,307
"450","Callithrix leucippe",5707302,357.25
"451","Callithrix marcai",5707297,357.25
"452","Callithrix mauesi",5707303,443.79
"453","Callithrix melanura",5707295,357.25
"454","Callithrix nigriceps",5707298,401.12
"455","Callithrix penicillata",5219541,307
"456","Callithrix pygmaea",5219535,122.253879043333
"457","Callorhinus ursinus",2433487,50299.076665
"458","Callosciurus adamsi",2437403,304.745
"459","Callosciurus baluensis",2437398,323.91
"460","Callosciurus caniceps",2437404,260.955
"461","Callosciurus erythraeus",2437394,277.615
"462","Callosciurus melanogaster",2437395,296
"463","Callosciurus nigrovittatus",2437400,205.15
"464","Callosciurus notatus",2437396,400
"465","Callosciurus orestes",2437401,208.3
"466","Callosciurus prevostii",2437397,400
"467","Callospermophilus lateralis",7593288,203.6
"468","Callospermophilus saturatus",8102496,256.6
"469","Calomys boliviae",2437956,48
"470","Calomys callidus",2437953,48.6
"471","Calomys callosus",2437950,48.3
"472","Calomys expulsus",4265146,48
"473","Calomys hummelincki",2437952,27
"474","Calomys laucha",9719395,24
"475","Calomys lepidus",2437955,18.295
"476","Calomys musculinus",2437951,17.25
"477","Calomys sorellus",2437957,20.295
"478","Calomys tener",2437954,14
"479","Calomys venustus",4265148,49.35
"480","Calomyscus bailwardi",2439355,20.4
"481","Calomyscus baluchi",2439353,20.4
"482","Calomyscus elburzensis",4264682,20.4
"483","Calomyscus grandis",4264683,20.4
"484","Calomyscus hotsoni",2439351,20.4
"485","Calomyscus mystax",2439352,20.4
"486","Calomyscus urartensis",2439354,20.4
"487","Caloprymnus campestris",2440028,908.285
"488","Caluromys derbianus",2439992,329
"489","Caluromys lanatus",2440004,410
"490","Caluromys philander",2439999,242.6085429
"491","Caluromysiops irrupta",2439937,257.48
"492","Calyptophractus retusus",2440821,129.99
"493","Camelus bactrianus",2441238,475000
"494","Camelus dromedarius",9055455,430333.333333333
"495","Canis adustus",5219146,10285.6225
"496","Canis aureus",5219219,11000
"497","Canis latrans",5219153,11433.3333333333
"498","Canis lupus",5219173,35730.2516666667
"499","Canis mesomelas",5219216,8739.1
"500","Canis simensis",5219143,13159.215
"501","Cannomys badius",2438494,452.5175
"502","Cansumys canus",2439293,25
"503","Caperea marginata",2440310,4000000
"504","Capra caucasica",2441051,69546.83
"505","Capra cylindricornis",2441053,50000
"506","Capra falconeri",2441050,41000
"507","Capra hircus",2441056,60750
"508","Capra ibex",2441055,79750
"509","Capra nubiana",2441049,70523.415
"510","Capra pyrenaica",2441054,60898.77
"511","Capra sibirica",2441052,82500
"512","Capra walie",2441048,80000
"513","Capreolus capreolus",5220126,20569.77136
"514","Capreolus pygargus",5220127,30558.35
"515","Capricornis crispus",4262615,61515.32
"516","Capricornis milneedwardsii",7261423,95000
"517","Capricornis rubidus",4262619,95000
"518","Capricornis sumatraensis",4262616,95000
"519","Capricornis swinhoei",4262612,43030.64
"520","Capricornis thar",4262618,95000
"521","Caprolagus hispidus",2436938,2498.495
"522","Capromys pilorides",2437653,3314.43333333333
"523","Caracal caracal",2435010,15000
"524","Cardioderma cor",2433356,26.45
"525","Carlito syrichta",8008808,113
"526","Carollia brevicauda",2433177,14.85
"527","Carollia castanea",2433178,13.1
"528","Carollia perspicillata",2433176,16.7666666666667
"529","Carollia subrufa",2433175,14.47
"530","Carpitalpa arendsi",2432207,52.34
"531","Carpomys melanurus",2438548,229.57
"532","Carpomys phaeurus",2438547,183.3
"533","Carterodon sulcidens",2439735,113.8
"534","Casinycteris argynnis",2432853,28.28
"535","Castor canadensis",2439838,18482.7783333333
"536","Castor fiber",4409131,19000
"537","Catagonus wagneri",2440998,35433.2
"538","Catopuma badia",2435093,3429.52
"539","Catopuma temminckii",2435094,11500
"540","Cavia aperea",5219704,341
"541","Cavia fulgida",5219706,282.5
"542","Cavia magna",5219703,459.99
"543","Cavia porcellus",5219702,665.366666666667
"544","Cavia tschudii",5219705,609.22
"545","Cebuella pygmaea",4827382,117.35
"546","Cebus albifrons",2436636,2434.358141
"547","Cebus apella",2436639,2739.95897533333
"548","Cebus capucinus",2436637,2753.665756
"549","Cebus kaapori",4266912,2670.07
"550","Cebus libidinosus",7261990,2642.5
"551","Cebus nigritus",7261992,2642.5
"552","Cebus olivaceus",2436638,2618.6130965
"553","Cebus xanthosternos",4266923,2642.5
"554","Centronycteris centralis",4265249,23
"555","Centronycteris maximiliani",2433136,23
"556","Centurio senex",2433148,23.09
"557","Cephalopachus bancanus",7503658,122.5
"558","Cephalophus adersi",2441165,10000
"559","Cephalophus brookei",4262456,19193.21
"560","Cephalophus callipygus",2441170,19079.23
"561","Cephalophus dorsalis",2441158,11600
"562","Cephalophus jentinki",2441159,69244.92
"563","Cephalophus leucogaster",2441167,12954.345
"564","Cephalophus maxwelli",2441153,8000
"565","Cephalophus natalensis",2441168,10000
"566","Cephalophus niger",2441157,18100
"567","Cephalophus nigrifrons",2441154,13900
"568","Cephalophus ogilbyi",2441169,19193.21
"569","Cephalophus rufilatus",2441161,12500
"570","Cephalophus silvicultor",2441163,62253.3
"571","Cephalophus spadix",2441156,56857.02
"572","Cephalophus weynsi",2441162,10000
"573","Cephalophus zebra",2441164,15654.75
"574","Cephalorhynchus commersonii",8697392,68700
"575","Cephalorhynchus eutropia",5220042,45000
"576","Cephalorhynchus heavisidii",5220041,60000
"577","Cephalorhynchus hectori",5220033,49999.99
"578","Ceratotherium simum",2440880,2202500
"579","Cercartetus caudatus",2440229,26.524265905
"580","Cercartetus concinnus",2440233,29.3
"581","Cercartetus lepidus",2440232,11.3075
"582","Cercartetus nanus",2440226,54.7455495133333
"583","Cercocebus agilis",2436546,7775
"584","Cercocebus atys",7262035,8778
"585","Cercocebus chrysogaster",4267135,7775
"586","Cercocebus galeritus",2436545,7066.5
"587","Cercocebus sanjei",4267131,7066.5
"588","Cercocebus torquatus",2436544,9140.75
"589","Cercopithecus albogularis",7262043,6116.5
"590","Cercopithecus ascanius",5219569,3705
"591","Cercopithecus campbelli",5219582,3800
"592","Cercopithecus cephus",5219570,3492.47
"593","Cercopithecus denti",5707353,3550
"594","Cercopithecus diana",5219576,4664.296266
"595","Cercopithecus doggetti",5707388,6116.5
"596","Cercopithecus dryas",5219583,4454.455
"597","Cercopithecus erythrogaster",5219571,5256.91
"598","Cercopithecus erythrotis",5219577,3355
"599","Cercopithecus hamlyni",5219584,4531.25
"600","Cercopithecus kandti",5707349,6116.5
"601","Cercopithecus lhoesti",5219572,4700
"602","Cercopithecus lowei",5707385,3800
"603","Cercopithecus mitis",5219578,7872.16666666667
"604","Cercopithecus mona",5219566,4240.085
"605","Cercopithecus neglectus",5219567,5823
"606","Cercopithecus nictitans",5219573,5465
"607","Cercopithecus petaurista",5219579,3650
"608","Cercopithecus pogonias",5219574,3358.5
"609","Cercopithecus preussi",5219568,4916.285
"610","Cercopithecus roloway",5707396,4550
"611","Cercopithecus sclateri",5219581,3304.99
"612","Cercopithecus solatus",5219575,4588.455
"613","Cercopithecus wolfi",5219580,3464.135
"614","Cerdocyon thous",2434584,5895.22
"615","Cervus duvaucelii",2440956,159000
"616","Cervus elaphus",2440958,146055.555
"617","Cervus nippon",2440954,47499.995
"618","Cervus unicolor",2440949,212000
"619","Chaerephon aloysiisabaudiae",5218717,19.54
"620","Chaerephon ansorgei",5218722,14.53
"621","Chaerephon bemmeleni",5218713,12.39
"622","Chaerephon bivittatus",5707233,12.58
"623","Chaerephon bregullae",5707225,20.71
"624","Chaerephon chapini",5218723,7.49
"625","Chaerephon gallagheri",5218714,8.1
"626","Chaerephon jobensis",5218719,20.71
"627","Chaerephon johorensis",5218715,15.69
"628","Chaerephon major",5218720,15.17
"629","Chaerephon nigeriae",5218711,20.14
"630","Chaerephon plicatus",5707214,21.83
"631","Chaerephon pumila",5218712,11
"632","Chaerephon pumilus",5707216,10.98
"633","Chaerephon russatus",5707232,16.98
"634","Chaerephon shortridgei",5707224,7.49
"635","Chaerephon solomonis",5707218,20.71
"636","Chaerephon tomensis",5707234,7.48
"637","Chaeropus ecaudatus",5219454,209.755
"638","Chaetocauda sichuanensis",4262914,31.51
"639","Chaetodipus arenarius",2439598,23
"640","Chaetodipus artus",2439599,22.03
"641","Chaetodipus baileyi",2439581,28.935
"642","Chaetodipus californicus",2439594,22.505
"643","Chaetodipus dalquesti",4263293,23
"644","Chaetodipus eremicus",2439588,15.57
"645","Chaetodipus fallax",2439579,19.21125
"646","Chaetodipus formosus",2439596,17.925
"647","Chaetodipus hispidus",2439583,37.6
"648","Chaetodipus intermedius",2439589,15.025
"649","Chaetodipus lineatus",2439593,23
"650","Chaetodipus nelsoni",2439577,14.965
"651","Chaetodipus penicillatus",2439591,16.19
