"","species_names","X","ID","Binomial","Common_name","Location","Country","Region","Latitude","Longitude","Class","Order","System","T_realm","T_biome","FW_realm","FW_biome","M_realm","M_biome","minyear","maxyear","duration","points","taxa","first_order_coefficient","first_order_pvalue","second_order_coefficient","second_order_pvalue","strd_error","intercept","x_m","p1","p2","p3","CV","MSE","D","r.sq","derivative","intercept_derivative","derivated_curvature","direction","acceleration","shape_class","linear_slope","linear_slope_pvalue","linear_intercept","first_X_value","last_X_value","magnitude","lin_class","gnbn","dir2","full_realm","LoNL","redlistCategory","populationTrend","GBIF_ID"
"11","Aepyceros melampus",2650,5259,"Aepyceros_melampus","Impala / Black-faced impala","Kruger National Park, South Africa","South Africa","Africa",-23.83333,"31.5","Mammalia","Artiodactyla","Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1965,1995,31,24,"Mammals",-0.0172615220792116,0.000331661006465277,0,0.27708496156753,0.166044608338587,45.9135203158533,1980,NA,NA,NA,0.0188614609370302,0.0241244604635254,0.00953487787361701,0.43313424673512,-0.0172615220792116,45.9135203158533,NA,"decrease","constant","decrease_constant",-0.0172615220792114,0.000321633410026901,45.9135203158528,1965,1995,0,"negative","bad","Decrease
linear","Afrotropical","linear","Least Concern","Stable","2441144"
"12","Aepyceros melampus",3646,7695,"Aepyceros_melampus","Impala / Black-faced impala","Lake Nakuru National Park, Kenya","Kenya","Africa",-0.39861,"36.09083","Mammalia","Artiodactyla","Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1970,1992,23,14,"Mammals",0.0475438599377338,0.0317141260911974,0,0.0604410896399012,0.563422014598965,-88.0694761212025,1981,NA,NA,NA,0.118680047515123,0.24942057370588,0.100967087329605,0.393220185136797,0.0475438599377338,-88.0694761212025,NA,"increase","constant","increase_constant",0.0475438599377343,0.0505536061351876,-88.0694761212036,1970,1992,0,"no trend","good","Increase
linear","Afrotropical","linear","Least Concern","Stable","2441144"
"13","Akodon azarae",4128,8997,"Akodon_azarae","Azara's grass mouse","Railway bank in the rural area of Chucul, south-west of C??rdoba, Argentina","Argentina","Latin America and Caribbean",-33.02611,"-64.18917","Mammalia","Rodentia","Terrestrial","Neotropical","Temperate grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1990,2007,18,18,"Mammals",0.0160678207676243,0.297190060711698,0,0.394868735286286,0.327468051108714,-28.8257395389083,1998.5,NA,NA,NA,0.0994671914019102,0.0893627704141158,0.101683974654649,-0.0039124479528736,0.0160678207676243,-28.8257395389083,NA,"stable","constant","stable_constant",0.0160678207676251,0.292726560522063,-28.8257395389097,1990,2007,0,"no trend","no","No trend
linear","Neotropical","linear","Least Concern","Stable","2437878"
"14","Alcelaphus buselaphus",4369,9883,"Alcelaphus_buselaphus","Hartebeest / Swayne's hartebeest","Lewa Nature Conservancy, Kenya","Kenya","Africa",0.22139,"37.44806","Mammalia","Artiodactyla","Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1977,2007,31,19,"Mammals",41.8967619847896,2.81015819219066e-07,-0.0105184193100458,8.13500614600033e-07,0.438135119503519,-41716.7410226849,1992,1991.59021663908,1982.25196896585,1993.57881837293,0.419505928264679,0.161652533004095,0.124619725897639,0.877807833750204,NA,NA,-1.14429056919776e-05,"stable","concave","stable_concave",-0.121555153761833,0.000974364232405715,245.778203241569,1977,2007,0.0210368386200916,"negative","bad","No trend
non linear","Afrotropical","non linear","Least Concern","Decreasing","5220185"
"15","Alces alces",4773,11146,"Alces_alces","Elk / moose","Oulu district","Finland","Europe",64.60139,"27.24639","Mammalia","Artiodactyla","Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL",1975,1999,25,25,"Mammals",1.49977997586437,0.969413044678016,-0.000377408552858255,0.0338328447966146,0.0386864845253722,-1489.74331253873,1987,1986.94486983135,1979.39563836412,1994.49410129858,0.181076231448422,0.00131704679474004,0.0990280084784936,0.115162063295063,NA,NA,-7.11272101807111e-11,"stable","concave","stable_concave",-4.16131943371262e-05,0.971818098435127,0.309810946342037,1975,1999,0.000754817105716509,"no trend","bad","No trend
non linear","Palearctic","non linear","Least Concern","Increasing","2440940"
"16","Alces alces",4774,11147,"Alces_alces","Elk / moose","Rostov-Oblast (Rostov District)","Russian Federation","Asia",47.88806,"41.08278","Mammalia","Artiodactyla","Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",1964,2007,44,44,"Mammals",9.84440294286602,1.38585413346423e-11,-0.00248852630976237,1.89006221215445e-08,0.341903576447187,-9729.06284828778,1985.5,1977.9583812811,1967.95413837702,1987.96262418519,0.109389396342525,0.108927733615511,0.0181882289596141,0.754175462383644,NA,NA,-2.77954640855261e-06,"stable","concave","stable_concave",-0.0375350332003591,1.29678341186692e-07,80.8298025846757,1964,2007,0.00497705261952475,"negative","bad","No trend
non linear","Palearctic","non linear","Least Concern","Increasing","2440940"
"17","Alces alces",4561,10703,"Alces_alces","Elk / moose","An area of  800 km2 at the Lovat River head in the Gorodok district,Vitebsk region","Belarus","Asia",55.53333,"30.11667","Mammalia","Artiodactyla","Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",1990,2000,11,11,"Mammals",-240.307698992599,0.0625352409322538,0.0602081119501162,0.001536718286572,0.375042541915953,239786.505526649,1995,1995.64220840955,1997.34272082974,1993.94169598937,0.230191553188197,0.102295933270385,0.131497116019487,0.712555048184477,NA,NA,0.00331419898478049,"stable","convex","stable_convex",-0.0773323116352679,0.267382548237397,157.316843506582,1990,2000,0.120416223900232,"no trend","good","No trend
non linear","Palearctic","non linear","Least Concern","Increasing","2440940"
"18","Alces alces",4771,11144,"Alces_alces","Elk / moose","Coastal Finland","Finland","Europe",60.70278,"23.76028","Mammalia","Artiodactyla","Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL",1975,1999,25,25,"Mammals",-4.44676482546715,8.91969048718018e-10,0.00111712602214781,1.20090844342902e-09,0.0259089651934874,4425.4250620988,1987,1990.27000414766,1995.09752637852,1985.4424819168,0.218281956005054,0.00059072154010966,0.0693909084985176,0.893536508142506,NA,NA,1.09397676340802e-07,"stable","convex","stable_convex",-0.00730601345176533,0.000200845448526176,14.8808229146668,1975,1999,0.00223425204429562,"negative","good","No trend
non linear","Palearctic","non linear","Least Concern","Increasing","2440940"
"19","Alces alces",9258,27610,"Alces_alces","Elk / moose","Latvia","Latvia","Europe",56.913999,"25.056544","Mammalia","Artiodactyla","Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",1974,2011,38,21,"Mammals",-6.51966712394174,0.455725226017719,0.00163474422456587,0.000787242968130764,0.221973544836917,6504.80910985184,1992.5,1994.09394630929,2003.34038604981,1984.56476414659,0.0635906862519116,0.0422333610921143,0.0321824793310259,0.425523628675007,NA,NA,1.67110938663323e-07,"stable","convex","stable_convex",-0.00326526496989615,0.576721382099093,11.1134292791743,1974,2011,0.00326948844913173,"no trend","good","No trend
non linear","Palearctic","non linear","Least Concern","Increasing","2440940"
"20","Alces alces",4769,11142,"Alces_alces","Elk / moose","Norway","Norway","Europe",62.8675,"10.47306","Mammalia","Artiodactyla","Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL",1991,2000,10,10,"Mammals",0.0170160449556871,0.0633646401267829,0,0.208292934386804,0.0701281776026761,-22.5647505010015,1995.5,NA,NA,NA,0.00761753384677389,0.00344257290571073,0.00702909135776629,0.346793694268762,0.0170160449556871,-22.5647505010015,NA,"stable","constant","stable_constant",0.017016044955687,0.0703406672116195,-22.5647505010014,1991,2000,0,"no trend","no","No trend
linear","Palearctic","linear","Least Concern","Increasing","2440940"
"21","Alces alces",4772,11145,"Alces_alces","Elk / moose","Inland -Finland","Finland","Europe",62.72389,"25.75889","Mammalia","Artiodactyla","Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL",1975,1999,25,25,"Mammals",-0.00396444392332804,0.00320875771507915,0,0.225675076598461,0.0432241955607611,8.19173744742959,1987,NA,NA,NA,0.164816722518618,0.00164413135204993,0.0623838089071634,0.304141229642305,-0.00396444392332804,8.19173744742959,NA,"decrease","constant","decrease_constant",-0.00396444392332808,0.00338193182192767,8.19173744742965,1975,1999,0,"negative","bad","Decrease
linear","Palearctic","linear","Least Concern","Increasing","2440940"
"22","Alces alces",4775,11148,"Alces_alces","Elk / moose","Ukrainian Steppe region","Ukraine","Asia",47.91472,"35.29806","Mammalia","Artiodactyla","Terrestrial","Palearctic","Temperate grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1971,2000,30,30,"Mammals",23.5685773531155,4.75333550347243e-14,-0.00595751340519376,6.22270577248694e-08,0.296005967443964,-23302.3268606129,1985.5,1978.05491571101,1968.00790683855,1988.10192458331,0.134716391654991,0.0788575794861935,0.0290589350659816,0.897609887179956,-0.0887083789088692,183.44354985435,-3.70480655824445e-05,"decrease","accelerated","decrease_accelerated",-0.0887083789088623,4.56796590367358e-09,182.997232808401,1971,2000,0.0116634155425966,"negative","bad","Decrease
non linear","Palearctic","non linear","Least Concern","Increasing","2440940"
"23","Alces alces",9270,27628,"Alces_alces","Elk / moose","Estonia","Estonia","Europe",58.813406,"25.657626","Mammalia","Artiodactyla","Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",1974,2014,41,25,"Mammals",0.0057086086009564,0.0766078506632392,0,0.419084232844205,0.193763404116854,-6.88594578688317,1994,NA,NA,NA,0.0449996652823162,0.033038945961957,0.0236107036225378,0.0815202398235844,0.0057086086009564,-6.88594578688317,NA,"stable","constant","stable_constant",0.00570860860095641,0.0741058515452699,-6.88594578688318,1974,2014,0,"no trend","no","No trend
linear","Palearctic","linear","Least Concern","Increasing","2440940"
"24","Alces alces",9227,27413,"Alces_alces","Elk / moose","Biebrza?õsk, Kampinoski and Poleski National Parks","Poland","Europe",52.324167,"21.941367","Mammalia","Artiodactyla","Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",2000,2010,11,11,"Mammals",0.0323913851758284,0.00307175008244655,0,0.364691575655558,0.0812372992428195,-58.0617793903613,2005,NA,NA,NA,0.0191812979102129,0.00479963548237629,0.0132040408666361,0.621377856714097,0.0323913851758284,-58.0617793903613,NA,"increase","constant","increase_constant",0.0323913851758278,0.0023075519095903,-58.0617793903603,2000,2010,0,"positive","good","Increase
linear","Palearctic","linear","Least Concern","Increasing","2440940"
"25","Alces alces",9226,27412,"Alces_alces","Elk / moose","Mixed coniferous forests of Northwestern Lithuania","Lithuania","Europe",55.861105,"21.89648","Mammalia","Artiodactyla","Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",2001,2017,17,17,"Mammals",-31.8420461607082,0.0798027416934192,0.00793063764209576,0.0139661566499998,0.248690697321652,31963.9049651114,2009,2007.53379474122,2011.80989032974,2003.25769915269,0.147918279109492,0.0509328753576833,0.150883411886212,0.371346038442798,NA,NA,-1.75284409102363e-05,"stable","convex","stable_convex",0.0232558852325637,0.138703748424401,-44.6006047326702,2001,2017,0.0158612752841915,"no trend","good","No trend
non linear","Palearctic","non linear","Least Concern","Increasing","2440940"
"26","Alces alces",9275,27633,"Alces_alces","Elk / moose","Poland","Poland","Europe",52.31701,"19.053812","Mammalia","Artiodactyla","Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",1975,2013,39,30,"Mammals",-10.6957181549377,0.0854007212744597,0.00268314345250293,5.86876702088847e-05,0.36727038556634,10663.0124157781,1994,1993.13200063163,2001.81858690233,1982.41831155728,0.112241628118055,0.121398782502643,0.0327197094800236,0.450836209588382,NA,NA,-4.02382210662577e-07,"stable","convex","stable_convex",0.0100242205490444,0.190587283749412,-15.5828086373755,1975,2013,0.00536628690500587,"no trend","good","No trend
non linear","Palearctic","non linear","Least Concern","Increasing","2440940"
"27","Alces alces",9309,27678,"Alces_alces","Elk / moose","Ukraine","Ukraine","Asia",49.695461,"31.046985","Mammalia","Artiodactyla","Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",1974,2013,40,28,"Mammals",-0.033926505826226,1.28114403610325e-08,0,0.812541705385653,0.254138546167918,71.7169812167225,1993.5,NA,NA,NA,0.11604732050464,0.0576664291503061,0.0210547656985084,0.710987333833997,-0.033926505826226,71.7169812167225,NA,"decrease","constant","decrease_constant",-0.033926505826226,6.65170474156977e-09,71.7169812167225,1974,2013,0,"negative","bad","Decrease
linear","Palearctic","linear","Least Concern","Increasing","2440940"
"28","Alces alces",4770,11143,"Alces_alces","Elk / moose","Lapland, Finland","Finland","Europe",68,"27","Mammalia","Artiodactyla","Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL",1974,1996,23,23,"Mammals",2.30986483170845,6.58633912696269e-09,-0.000580631592405057,1.03550186043347e-06,0.0158136614572173,-2297.14020708906,1985,1989.09675422644,1984.44424993669,1993.749258516,0.439565116766082,0.000217453816246505,0.0984274285360096,0.861933164058139,NA,NA,1.92454719602986e-08,"stable","concave","stable_concave",0.00475740986037451,2.77311211475696e-05,-9.34663869490816,1974,1996,0.00116126318481011,"positive","bad","No trend
non linear","Palearctic","non linear","Least Concern","Increasing","2440940"
"29","Alces americanus",9326,27730,"Alces_americanus","Moose","Duke, Kluane National Park and Reserve, Yukon","Canada","North America",60.749785,"-139.500032","Mammalia","Artiodactyla","Terrestrial","Nearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL",1981,2020,40,36,"Mammals",-6.14220872020653,3.1427808182445e-06,0.00153061019583274,7.74798959919132e-05,0.247527377394911,6165.86509931845,2000.5,2006.45753469087,2019.11105866903,1994.49725725476,0.0939738461086405,0.0561639856800023,0.0427866784567103,0.586758458577326,NA,NA,5.12283740152651e-07,"stable","convex","stable_convex",-0.0197679368755905,8.25547399497922e-05,43.6333293131402,1981,2020,0.00306122039166547,"negative","good","No trend
non linear","Nearctic","non linear",NA,NA,"4262283"
"30","Alces americanus",7748,19854,"Alces_americanus","Moose","Island, Newfoundland and Labrador","Canada","North America",48.60645,"-56.33304","Mammalia","Artiodactyla","Terrestrial","Nearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL",1980,2016,37,37,"Mammals",4.98696164646352,1.37338880800501e-08,-0.00124687261685463,3.25766243993442e-20,0.0390963654565247,-4974.5612151787,1998,1999.78794106637,1993.74947250801,2005.82640962475,0.0121658154915648,0.00140459126824175,0.00192545076691705,0.924885317308194,NA,NA,8.31781236595785e-08,"stable","concave","stable_concave",0.00445866951240381,0.0405450849691179,2.81711531714313,1980,2016,0.00249374523370927,"positive","bad","No trend
non linear","Nearctic","non linear",NA,NA,"4262283"
"31","Alces americanus",1496,3405,"Alces_americanus","Moose","Isle Royale National Park, Michigan, USA","United States","North America",48.00889,"-88.8675","Mammalia","Artiodactyla","Terrestrial","Nearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL",1959,1998,40,40,"Mammals",4.79602846183105,0.00212677827390636,-0.00120820194963852,0.0100566944526236,0.335350800866704,-4752.33701764759,1978.5,1984.77930914859,1963.77671473679,2005.78190356039,0.0571685911915218,0.104025647668794,0.0232610706051539,0.294409868463433,NA,NA,2.65638954758748e-07,"stable","concave","stable_concave",0.0151733471114209,0.00407602613639237,-23.0370883209811,1959,1998,0.00241640389927705,"positive","bad","No trend
non linear","Nearctic","non linear",NA,NA,"4262283"
"32","Alces americanus",9327,27735,"Alces_americanus","Moose","Elk Island National Park - South, Alberta","Canada","North America",53.637361,"-112.857039","Mammalia","Artiodactyla","Terrestrial","Nearctic","Temperate grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1958,2017,60,56,"Mammals",0.0215985463050846,0.000309767972238619,0,0.867038571984416,0.731898217854478,-38.0656678387457,1987.5,NA,NA,NA,0.167753210921923,0.506978126228995,0.135966861062091,0.190333184661223,0.0215985463050846,-38.0656678387457,NA,"increase","constant","increase_constant",0.021598546305084,0.000272309069536131,-38.0656678387446,1958,2017,0,"positive","good","Increase
linear","Nearctic","linear",NA,NA,"4262283"
"33","Alces americanus",9325,27729,"Alces_americanus","Moose","Auriol, Kluane National Park and Reserve, Yukon","Canada","North America",60.749785,"-139.500032","Mammalia","Artiodactyla","Terrestrial","Nearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL",1983,2020,38,25,"Mammals",0.013596957396931,1.3097814003389e-05,0,0.746845750849994,0.128062338944674,-21.8445818322455,2001.5,NA,NA,NA,0.035693492765393,0.0144319671372628,0.0231204020377612,0.549236165382762,0.013596957396931,-21.8445818322455,NA,"increase","constant","increase_constant",0.013596957396931,8.53654994731584e-06,-21.8445818322454,1983,2020,0,"positive","good","Increase
linear","Nearctic","linear",NA,NA,"4262283"
"34","Alces americanus",9328,27736,"Alces_americanus","Moose","Elk Island National Park - North, Alberta","Canada","North America",53.637361,"-112.857039","Mammalia","Artiodactyla","Terrestrial","Nearctic","Temperate grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1958,2017,60,54,"Mammals",4.78262397530571,3.59892004510539e-15,-0.00121049864151295,4.81791436438184e-09,0.337338619658493,-4718.1553710533,1987.5,1975.47680405825,1956.43693310113,1995.71132111294,0.13140929232652,0.107475269629036,0.0505488509849613,0.762349770768001,NA,NA,-5.10745500682114e-07,"stable","concave","stable_concave",-0.0280321259158004,1.45113412235898e-10,60.9672704456469,1958,2017,0.00242099728302589,"negative","bad","No trend
non linear","Nearctic","non linear",NA,NA,"4262283"
"35","Alouatta palliata",2711,5632,"Alouatta_palliata","Mantled howler monkey / Golden-mantled howling monkey","Santa Rosa National Park","Costa Rica","Latin America and Caribbean",10.86972,"-85.73167","Mammalia","Primates","Terrestrial","Neotropical","Tropical and subtropical moist broadleaf forests","NULL","NULL","NULL","NULL",1972,1999,28,10,"Mammals",0.0942290260023371,0.065993448784329,0,0.815534851307353,0.900315702203181,-181.522564558766,1985.5,NA,NA,NA,0.181688984682927,0.567397854543525,0.125054070901397,0.236982187952165,0.0942290260023371,-181.522564558766,NA,"stable","constant","stable_constant",0.0942290260023365,0.0491532177843525,-181.522564558765,1972,1999,0,"positive","no","No trend
linear","Neotropical","linear","Vulnerable","Decreasing","2436649"
"36","Alouatta seniculus",2710,5631,"Alouatta_seniculus","Red howler monkey","Hato Masaguaral, Guarico state, Venezuela","Venezuela, Bolivarian Republic Of","Latin America and Caribbean",8.56667,"-67.58333","Mammalia","Primates","Terrestrial","Neotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL",1970,1999,30,22,"Mammals",19.6024533056492,0.79210137692913,-0.00493399996421541,8.05212356918166e-07,0.208684197446059,-19464.0527397649,1984.5,1986.46670529175,1980.27496758642,1989.62923902561,0.0704358580831616,0.0376105814095641,0.0198497122647578,0.702581233633207,NA,NA,5.66420665019695e-06,"stable","concave","stable_concave",0.00146562962657014,0.888231212299684,2.52144126565827,1970,1999,0.00986799992843082,"no trend","bad","No trend
non linear","Neotropical","non linear","Least Concern","Decreasing","2436648"
