,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Metabolism_W,Trophic,Group,Mass_Spec_Meta_Watt,Inverse_Mass_Spec_Meta_Watt
155,1,2,Mammal,Carnivora,Cerdocyon thous,5444,8.502,Carnivore,Eutherian,0.001561719,640.3199247
2492,1,9,Mammal,Carnivora,Eira barbara,2950,6.811,Omnivore,Eutherian,0.002308814,433.1228894
2641,1,2,Mammal,Carnivora,Enhydra lutris,18000,72.28888889,Carnivore,Eutherian,0.004016049,249.0009222
299,1,2,Mammal,Carnivora,Fossa fossana,2260,5.02262,Carnivore,Eutherian,0.002222398,449.9643612
307,1,2,Mammal,Carnivora,Galerella sanguinea,500,2.119444444,Carnivore,Eutherian,0.004238889,235.9108782
315,1,2,Mammal,Carnivora,Genetta tigrina,1699,4.189,Carnivore,Eutherian,0.002465568,405.5860587
345,1,2,Mammal,Carnivora,Gulo gulo,12700,31.765,Carnivore,Eutherian,0.002501181,399.8111129
358,1,2,Mammal,Carnivora,Herpestes javanicus,611,2.248,Carnivore,Eutherian,0.003679214,271.797153
93,1,2,Mammal,Carnivora,Histriophoca fasciata,54000,118.59,Carnivore,Eutherian,0.002196111,455.3503668
368,1,2,Mammal,Carnivora,Hyaena hyaena,34300,31.95,Carnivore,Eutherian,0.000931487,1073.552426
411,1,2,Mammal,Carnivora,Leopardus pardalis,10500,17.368,Carnivore,Eutherian,0.001654095,604.5601105
412,1,2,Mammal,Carnivora,Leopardus wiedii,3600,5.222222222,Carnivore,Eutherian,0.001450617,689.3617022
413,1,2,Mammal,Carnivora,Leptailurus serval,1012,1.44,Carnivore,Eutherian,0.001422925,702.7777778
102,1,2,Mammal,Carnivora,Leptonychotes weddellii,388500,416.0583333,Carnivore,Eutherian,0.001070935,933.7632945
433,1,2,Mammal,Carnivora,Lutra lutra,10000,25.1,Carnivore,Eutherian,0.00251,398.4063745
105,1,2,Mammal,Carnivora,Lycalopex culpaeus,5418,11.36388889,Carnivore,Eutherian,0.002097432,476.773405
106,1,2,Mammal,Carnivora,Lycaon pictus,8750,33.01,Carnivore,Eutherian,0.003772571,265.0711905
437,1,2,Mammal,Carnivora,Lynx rufus,9400,23.446,Carnivore,Eutherian,0.002494255,400.9212659
452,1,2,Mammal,Carnivora,Martes americana,966.5,3.579,Carnivore,Eutherian,0.003703052,270.0474993
453,1,2,Mammal,Carnivora,Martes martes,920,4,Carnivore,Eutherian,0.004347826,230
457,1,2,Mammal,Carnivora,Meles meles,11050,16.64166667,Carnivore,Eutherian,0.001506033,663.9959939
461,1,2,Mammal,Carnivora,Melursus ursinus,66960,47.05833333,Carnivore,Eutherian,0.000702783,1422.914822
117,1,2,Mammal,Carnivora,Mephitis mephitis,5667,8.408333333,Carnivore,Eutherian,0.001483736,673.9742319
496,1,2,Mammal,Carnivora,Mustela erminea,125.5,1.276,Carnivore,Eutherian,0.010167331,98.35423197
497,1,2,Mammal,Carnivora,Mustela frenata,225,1.344,Carnivore,Eutherian,0.005973333,167.4107143
122,1,2,Mammal,Carnivora,Mustela nivalis,77,0.983333333,Carnivore,Eutherian,0.012770563,78.30508477
123,1,2,Mammal,Carnivora,Mustela putorius,1575,7.027777778,Carnivore,Eutherian,0.004462081,224.1106719
509,1,9,Mammal,Carnivora,Nandinia binotata,4270,4.811111111,Omnivore,Eutherian,0.001126724,887.5288684
515,1,2,Mammal,Carnivora,Nasua narica,3670,6.733,Carnivore,Eutherian,0.001834605,545.0764889
516,1,9,Mammal,Carnivora,Nasua nasua,4000,5.577777778,Omnivore,Eutherian,0.001394444,717.1314741
530,1,2,Mammal,Carnivora,Neovison vison,662,2.711111111,Carnivore,Eutherian,0.004095334,244.1803279
132,1,2,Mammal,Carnivora,Nyctereutes procyonoides,7575,16.93055556,Carnivore,Eutherian,0.002235057,447.4159146
133,1,2,Mammal,Carnivora,Pagophilus groenlandicus,145657,184.425,Carnivore,Eutherian,0.00126616,789.7898875
5831,1,2,Mammal,Carnivora,Panthera leo,98000,94.56666667,Carnivore,Eutherian,0.000964966,1036.305957
584,1,2,Mammal,Carnivora,Panthera onca,50400,62.40833333,Carnivore,Eutherian,0.001238261,807.5844572
585,1,2,Mammal,Carnivora,Panthera tigris,137900,133.8361111,Carnivore,Eutherian,0.00097053,1030.364667
5882,1,2,Mammal,Carnivora,Paradoxurus hermaphroditus,3160,4.230555556,Carnivore,Eutherian,0.001338783,746.9468154
6441,1,2,Mammal,Carnivora,Phoca vitulina,27400,73.29,Carnivore,Eutherian,0.002674818,373.8572793
688,1,9,Mammal,Carnivora,Potos flavus,2400,4.230555556,Omnivore,Eutherian,0.001762731,567.3013788
693,1,9,Mammal,Carnivora,Procyon cancrivorus,1160,2.588,Omnivore,Eutherian,0.002231034,448.2225657
694,1,9,Mammal,Carnivora,Procyon lotor,4842.2,10.428,Omnivore,Eutherian,0.002153567,464.3459916
7011,1,2,Mammal,Carnivora,Proteles cristata,7902.6,11.563,Carnivore,Eutherian,0.001463189,683.438554
7273,1,2,Mammal,Carnivora,Puma concolor,37200,49.326,Carnivore,Eutherian,0.001325968,754.1661598
7284,1,2,Mammal,Carnivora,Puma yagouaroundi,8400,9.69,Carnivore,Eutherian,0.001153571,866.873065
156,1,2,Mammal,Carnivora,Pusa hispida,44600,79.10833333,Carnivore,Eutherian,0.001773729,563.7838407
799,1,2,Mammal,Carnivora,Spilogale putorius,624,1.636111111,Carnivore,Eutherian,0.002621973,381.3921902
818,1,2,Mammal,Carnivora,Suricata suricatta,850,1.729,Carnivore,Eutherian,0.002034118,491.6136495
840,1,2,Mammal,Carnivora,Taxidea taxus,9000,15.06111111,Carnivore,Eutherian,0.001673457,597.565474
163,1,2,Mammal,Carnivora,Ursus americanus,129500,85.23333333,Carnivore,Eutherian,0.000658172,1519.358623
164,1,2,Mammal,Carnivora,Ursus arctos,170000,109.9972222,Carnivore,Eutherian,0.000647042,1545.493573
165,1,2,Mammal,Carnivora,Ursus maritimus,181333,124.4055556,Carnivore,Eutherian,0.000686061,1457.595677
166,1,2,Mammal,Carnivora,Vulpes cana,1285,3.525,Carnivore,Eutherian,0.002743191,364.5390071
890,1,2,Mammal,Carnivora,Vulpes lagopus,3600,7.665,Carnivore,Eutherian,0.002129167,469.667319
891,1,2,Mammal,Carnivora,Vulpes macrotis,1769,4.928,Carnivore,Eutherian,0.002785755,358.9691558
171,1,2,Mammal,Carnivora,Vulpes rueppellii,1546,4.458333333,Carnivore,Eutherian,0.002883786,346.7663552
172,1,2,Mammal,Carnivora,Vulpes velox,1769,4.948,Carnivore,Eutherian,0.00279706,357.5181892
892,1,2,Mammal,Carnivora,Vulpes vulpes,3060,8.380555556,Carnivore,Eutherian,0.002738744,365.1309247
8931,1,2,Mammal,Carnivora,Vulpes zerda,1106,2.222222222,Carnivore,Eutherian,0.002009243,497.7
177,1,2,Mammal,Carnivora,Zalophus californianus,73000,177.9361111,Carnivore,Eutherian,0.002437481,410.2596126
178,1,2,Mammal,Cetacea,Orcinus orca,3221000,2173.888889,Carnivore,Eutherian,0.000674911,1481.676463
64510,1,2,Mammal,Cetacea,Phocoena phocoena,28500,107.675,Carnivore,Eutherian,0.00377807,264.6853959
181,1,2,Mammal,Cetacea,Tursiops truncatus,148600,323.2555556,Carnivore,Eutherian,0.00217534,459.6982091
182,1,2,Mammal,Chiroptera,Anoura caudifer,11.3,0.158333333,Carnivore,Eutherian,0.014011799,71.3684212
183,1,2,Mammal,Chiroptera,Anoura latidens,13.6,0.205555556,Carnivore,Eutherian,0.015114379,66.16216202
184,1,2,Mammal,Chiroptera,Antrozous pallidus,22,0.104,Carnivore,Eutherian,0.004727273,211.5384615
185,1,2,Mammal,Chiroptera,Artibeus concolor,19.7,0.183333333,Carnivore,Eutherian,0.009306261,107.4545456
186,1,2,Mammal,Chiroptera,Artibeus fimbriatus,63.9,0.436111111,Carnivore,Eutherian,0.0068249,146.522293
7412,1,2,Mammal,Chiroptera,Artibeus jamaicensis,45.2,0.316666667,Carnivore,Eutherian,0.0070059,142.736842
75,1,2,Mammal,Chiroptera,Artibeus lituratus,69.7,0.483333333,Carnivore,Eutherian,0.006934481,144.2068967
191,1,2,Mammal,Chiroptera,Aselliscus tricuspidatus,4.2,0.038888889,Carnivore,Eutherian,0.009259259,107.9999997
146,1,2,Mammal,Chiroptera,Carollia perspicillata,14.9,0.175,Carnivore,Eutherian,0.011744966,85.14285714
194,1,2,Mammal,Chiroptera,Chalinolobus gouldii,17.5,0.138888889,Carnivore,Eutherian,0.007936508,125.9999999
195,1,2,Mammal,Chiroptera,Chiroderma doriae,19.9,0.172222222,Carnivore,Eutherian,0.008654383,115.5483872
196,1,2,Mammal,Chiroptera,Choeroniscus godmani,10.1,0.105555556,Carnivore,Eutherian,0.010451045,95.68421012
197,1,2,Mammal,Chiroptera,Chrotopterus auritus,96.1,0.569444444,Carnivore,Eutherian,0.005925541,168.7609757
2081,1,2,Mammal,Chiroptera,Cynopterus brachyotis,37.2,0.262,Carnivore,Eutherian,0.007043011,141.9847328
227,1,2,Mammal,Chiroptera,Desmodus rotundus,29.4,0.15,Carnivore,Eutherian,0.005102041,196
202,1,2,Mammal,Chiroptera,Diaemus youngi,36.6,0.188888889,Carnivore,Eutherian,0.005160899,193.7647058
203,1,2,Mammal,Chiroptera,Diphylla ecaudata,27.8,0.188888889,Carnivore,Eutherian,0.006794564,147.1764705
204,1,1,Mammal,Chiroptera,Dobsonia anderseni,241.4,0.969444444,Herbivore,Eutherian,0.004015926,249.0085961
205,1,2,Mammal,Chiroptera,Dobsonia minor,73.7,0.416666667,Carnivore,Eutherian,0.00565355,176.8799999
243,1,1,Mammal,Chiroptera,Dobsonia moluccensis,312.4,1.411,Herbivore,Eutherian,0.004516645,221.4032601
208,1,1,Mammal,Chiroptera,Dobsonia praedatrix,179.5,0.8,Herbivore,Eutherian,0.004456825,224.375
209,1,2,Mammal,Chiroptera,Eonycteris spelaea,51.6,0.266666667,Carnivore,Eutherian,0.005167959,193.4999998
210,1,2,Mammal,Chiroptera,Eptesicus fuscus,13.3,0.113,Carnivore,Eutherian,0.008496241,117.699115
211,1,2,Mammal,Chiroptera,Erophylla bombifrons,16.1,0.1,Carnivore,Eutherian,0.00621118,161
212,1,2,Mammal,Chiroptera,Eumops perotis,56,0.222222222,Carnivore,Eutherian,0.003968254,252.0000003
213,1,2,Mammal,Chiroptera,Glossophaga longirostris,13.5,0.147222222,Carnivore,Eutherian,0.01090535,91.69811335
334,1,2,Mammal,Chiroptera,Glossophaga soricina,9.6,0.119444444,Carnivore,Eutherian,0.01244213,80.37209332
216,1,2,Mammal,Chiroptera,Hipposideros cervinus,8.3,0.05,Carnivore,Eutherian,0.006024096,166
217,1,2,Mammal,Chiroptera,Hipposideros diadema,37.2,0.183333333,Carnivore,Eutherian,0.004928315,202.9090913
218,1,2,Mammal,Chiroptera,Hipposideros galeritus,8.5,0.052777778,Carnivore,Eutherian,0.00620915,161.0526309
219,1,2,Mammal,Chiroptera,Hipposideros maggietaylorae,18.2,0.116666667,Carnivore,Eutherian,0.006410256,155.9999996
220,1,2,Mammal,Chiroptera,Histiotus velatus,11.2,0.055555556,Carnivore,Eutherian,0.004960318,201.5999984
221,1,2,Mammal,Chiroptera,Lasiurus borealis,12.2,0.097222222,Carnivore,Eutherian,0.007969035,125.4857146
222,1,2,Mammal,Chiroptera,Lasiurus cinereus,19.9,0.091666667,Carnivore,Eutherian,0.004606365,217.0909083
223,1,2,Mammal,Chiroptera,Lasiurus intermedius,22.6,0.102777778,Carnivore,Eutherian,0.004547689,219.8918914
224,1,2,Mammal,Chiroptera,Lasiurus seminolus,9.8,0.075,Carnivore,Eutherian,0.007653061,130.6666667
225,1,2,Mammal,Chiroptera,Leptonycteris curasoae,24,0.188888889,Carnivore,Eutherian,0.00787037,127.0588235
438,1,2,Mammal,Chiroptera,Macroderma gigas,107.2,0.525,Carnivore,Eutherian,0.004897388,204.1904762
228,1,2,Mammal,Chiroptera,Macroglossus minimus,16.4,0.080555556,Carnivore,Eutherian,0.004911924,203.5862058
444,1,2,Mammal,Chiroptera,Macrotus californicus,11.7,0.080555556,Carnivore,Eutherian,0.00688509,145.2413785
231,1,2,Mammal,Chiroptera,Melonycteris melanops,53.3,0.241666667,Carnivore,Eutherian,0.004534084,220.5517238
487,1,2,Mammal,Chiroptera,Miniopterus schreibersii,10.9,0.144444444,Carnivore,Eutherian,0.013251784,75.46153869
234,1,2,Mammal,Chiroptera,Molossus molossus,15.6,0.097222222,Carnivore,Eutherian,0.006232194,160.4571432
235,1,2,Mammal,Chiroptera,Monophyllus redmani,8.7,0.061111111,Carnivore,Eutherian,0.007024266,142.3636366
236,1,2,Mammal,Chiroptera,Mormoops blainvillei,8.6,0.044444444,Carnivore,Eutherian,0.005167959,193.5000019
237,1,2,Mammal,Chiroptera,Mormoops megalophylla,16.5,0.136111111,Carnivore,Eutherian,0.008249158,121.2244899
238,1,2,Mammal,Chiroptera,Myotis chiloensis,5.8,0.055555556,Carnivore,Eutherian,0.009578544,104.3999992
239,1,2,Mammal,Chiroptera,Myotis lucifugus,5.8,0.051,Carnivore,Eutherian,0.008793103,113.7254902
240,1,2,Mammal,Chiroptera,Myotis nigricans,3.7,0.027,Carnivore,Eutherian,0.007297297,137.037037
241,1,2,Mammal,Chiroptera,Myotis velifer,11.9,0.04,Carnivore,Eutherian,0.003361345,297.5
505,1,2,Mammal,Chiroptera,Myotis vivesi,25,0.199,Carnivore,Eutherian,0.00796,125.6281407
244,1,2,Mammal,Chiroptera,Myotis yumanensis,5,0.047,Carnivore,Eutherian,0.0094,106.3829787
245,1,2,Mammal,Chiroptera,Natalus tumidirostris,5.4,0.047222222,Carnivore,Eutherian,0.008744856,114.3529417
246,1,2,Mammal,Chiroptera,Noctilio albiventris,27,0.133333333,Carnivore,Eutherian,0.004938272,202.5000005
534,1,2,Mammal,Chiroptera,Noctilio leporinus,61,0.261111111,Carnivore,Eutherian,0.00428051,233.6170214
249,1,2,Mammal,Chiroptera,Nycticeius humeralis,9,0.061111111,Carnivore,Eutherian,0.006790123,147.2727275
250,1,2,Mammal,Chiroptera,Nyctimene albiventer,30.9,0.244444444,Carnivore,Eutherian,0.007910823,126.4090911
251,1,2,Mammal,Chiroptera,Nyctimene cyclotis,40.4,0.444444444,Carnivore,Eutherian,0.0110011,90.90000009
252,1,2,Mammal,Chiroptera,Nyctophilus geoffroyi,8,0.063888889,Carnivore,Eutherian,0.007986111,125.2173911
253,1,2,Mammal,Chiroptera,Nyctophilus timoriensis,13.6,0.113888889,Carnivore,Eutherian,0.008374183,119.414634
254,1,2,Mammal,Chiroptera,Paranyctimene raptor,23.6,0.136111111,Carnivore,Eutherian,0.00576742,173.3877552
255,1,2,Mammal,Chiroptera,Peropteryx macrotis,5.1,0.066666667,Carnivore,Eutherian,0.013071895,76.49999962
653,1,2,Mammal,Chiroptera,Phyllostomus discolor,33.5,0.191666667,Carnivore,Eutherian,0.005721393,174.7826084
258,1,2,Mammal,Chiroptera,Phyllostomus elongatus,35.6,0.216666667,Carnivore,Eutherian,0.006086142,164.3076921
654,1,2,Mammal,Chiroptera,Phyllostomus hastatus,84.2,0.394444444,Carnivore,Eutherian,0.004684613,213.464789
67110,1,2,Mammal,Chiroptera,Platyrrhinus lineatus,21.9,0.180555556,Carnivore,Eutherian,0.008244546,121.2923074
263,1,2,Mammal,Chiroptera,Plecotus auritus,10.2,0.082,Carnivore,Eutherian,0.008039216,124.3902439
264,1,2,Mammal,Chiroptera,Pteronotus davyi,9.4,0.086111111,Carnivore,Eutherian,0.009160756,109.1612905
265,1,2,Mammal,Chiroptera,Pteronotus parnellii,19.2,0.172222222,Carnivore,Eutherian,0.008969907,111.4838711
266,1,2,Mammal,Chiroptera,Pteronotus personatus,14,0.127777778,Carnivore,Eutherian,0.009126984,109.5652172
267,1,2,Mammal,Chiroptera,Pteronotus quadridens,4.9,0.033333333,Carnivore,Eutherian,0.006802721,147.0000015
716,1,1,Mammal,Chiroptera,Pteropus giganteus,562.2,1.622,Herbivore,Eutherian,0.002885094,346.6091245
717,1,1,Mammal,Chiroptera,Pteropus hypomelanus,520.8,1.618,Herbivore,Eutherian,0.003106759,321.8788628
718,1,1,Mammal,Chiroptera,Pteropus poliocephalus,598,1.766666667,Herbivore,Eutherian,0.002954292,338.490566
719,1,1,Mammal,Chiroptera,Pteropus pumilus,194.2,0.705,Herbivore,Eutherian,0.003630278,275.4609929
720,1,1,Mammal,Chiroptera,Pteropus rodricensis,254.5,0.752777778,Herbivore,Eutherian,0.002957869,338.0811807
721,1,1,Mammal,Chiroptera,Pteropus scapulatus,362,1.352777778,Herbivore,Eutherian,0.003736955,267.5975359
7221,1,1,Mammal,Chiroptera,Pteropus vampyrus,1024.3,4.486,Herbivore,Eutherian,0.004379576,228.3325903
282,1,2,Mammal,Chiroptera,Rhinonicteris aurantia,8.3,0.091666667,Carnivore,Eutherian,0.011044177,90.54545422
283,1,2,Mammal,Chiroptera,Rhinophylla fischerae,9.5,0.091666667,Carnivore,Eutherian,0.009649123,103.6363633
7451,1,1,Mammal,Chiroptera,Rousettus aegyptiacus,146,0.683333333,Herbivore,Eutherian,0.004680365,213.6585367
286,1,2,Mammal,Chiroptera,Rousettus amplexicaudatus,91.5,0.583333333,Carnivore,Eutherian,0.006375228,156.8571429
7461,1,2,Mammal,Chiroptera,Saccopteryx bilineata,7.8,0.080555556,Carnivore,Eutherian,0.010327635,96.82758567
289,1,2,Mammal,Chiroptera,Saccopteryx leptura,4.2,0.052777778,Carnivore,Eutherian,0.012566138,79.57894703
290,1,2,Mammal,Chiroptera,Sturnira erythromos,15.9,0.222222222,Carnivore,Eutherian,0.01397624,71.55000007
812,1,2,Mammal,Chiroptera,Sturnira lilium,21.9,0.219444444,Carnivore,Eutherian,0.010020294,99.79746856
293,1,2,Mammal,Chiroptera,Sturnira tildae,20.5,0.222222222,Carnivore,Eutherian,0.010840108,92.25000009
294,1,2,Mammal,Chiroptera,Syconycteris australis,16.5,0.097222222,Carnivore,Eutherian,0.005892256,169.7142861
295,1,2,Mammal,Chiroptera,Tadarida brasiliensis,13.3,0.117,Carnivore,Eutherian,0.008796992,113.6752137
296,1,2,Mammal,Chiroptera,Tonatia bidens,27.4,0.219444444,Carnivore,Eutherian,0.008008921,124.8607597
297,1,2,Mammal,Chiroptera,Uroderma bilobatum,16.2,0.147222222,Carnivore,Eutherian,0.009087791,110.037736
298,1,2,Mammal,Chiroptera,Vampyressa pusilla,8.8,0.102777778,Carnivore,Eutherian,0.011679293,85.62162144
51,1,2,Mammal,Dasyuromorphia,Antechinomys laniger,24.2,0.133333333,Carnivore,Marsupial,0.005509642,181.5000005
52,1,2,Mammal,Dasyuromorphia,Antechinus flavipes,46.5,0.252,Carnivore,Marsupial,0.005419355,184.5238095
53,1,2,Mammal,Dasyuromorphia,Antechinus stuartii,25,0.189,Carnivore,Marsupial,0.00756,132.2751323
54,1,2,Mammal,Dasyuromorphia,Antechinus swainsonii,66.9,0.351,Carnivore,Marsupial,0.005246637,190.5982906
214,1,2,Mammal,Dasyuromorphia,Dasycercus cristicauda,88.8,0.258333333,Carnivore,Marsupial,0.002909159,343.7419359
2181,1,2,Mammal,Dasyuromorphia,Dasyuroides byrnei,100,0.439,Carnivore,Marsupial,0.00439,227.7904328
2191,1,2,Mammal,Dasyuromorphia,Dasyurus geoffroii,1326.7,2.991,Carnivore,Marsupial,0.002254466,443.5640254
2201,1,2,Mammal,Dasyuromorphia,Dasyurus hallucatus,571,1.501,Carnivore,Marsupial,0.002628722,380.413058
22110,1,2,Mammal,Dasyuromorphia,Dasyurus maculatus,1782,3.142,Carnivore,Marsupial,0.001763187,567.1546785
22210,1,2,Mammal,Dasyuromorphia,Dasyurus viverrinus,945.3,2.26,Carnivore,Marsupial,0.002390775,418.2743363
506,1,2,Mammal,Dasyuromorphia,Myrmecobius fasciatus,438.2,0.907,Carnivore,Marsupial,0.002069831,483.1312018
321,1,2,Mammal,Dasyuromorphia,Ningaui yvonnae,11.6,0.088888889,Carnivore,Marsupial,0.007662835,130.4999998
637,1,2,Mammal,Dasyuromorphia,Phascogale tapoatafa,153.7,0.694,Carnivore,Marsupial,0.00451529,221.4697406
662,1,2,Mammal,Dasyuromorphia,Planigale gilesi,9.1,0.058,Carnivore,Marsupial,0.006373626,156.8965517
66310,1,2,Mammal,Dasyuromorphia,Planigale ingrami,7.1,0.063888889,Carnivore,Marsupial,0.008998435,111.1304346
664,1,2,Mammal,Dasyuromorphia,Planigale maculata,10.6,0.067,Carnivore,Marsupial,0.006320755,158.2089552
665,1,2,Mammal,Dasyuromorphia,Planigale tenuirostris,7.1,0.063,Carnivore,Marsupial,0.008873239,112.6984127
706,1,2,Mammal,Dasyuromorphia,Pseudantechinus macdonnellensis,43.1,0.152,Carnivore,Marsupial,0.003526682,283.5526316
7551,1,2,Mammal,Dasyuromorphia,Sarcophilus harrisii,5050,7.886111111,Carnivore,Marsupial,0.001561606,640.3663262
785,1,2,Mammal,Dasyuromorphia,Sminthopsis crassicaudata,16,0.121,Carnivore,Marsupial,0.0075625,132.231405
786,1,2,Mammal,Dasyuromorphia,Sminthopsis macroura,20.6,0.128,Carnivore,Marsupial,0.006213592,160.9375
340,1,2,Mammal,Dasyuromorphia,Sminthopsis murina,19,0.119444444,Carnivore,Marsupial,0.00628655,159.069768
130,1,9,Mammal,Didelphimorphia,Caluromys derbianus,357,1.136111111,Omnivore,Marsupial,0.003182384,314.2298289
169,1,9,Mammal,Didelphimorphia,Chironectes minimus,923,2.044444444,Omnivore,Marsupial,0.002214999,451.4673914
232,1,9,Mammal,Didelphimorphia,Didelphis marsupialis,1244.3,3.31,Omnivore,Marsupial,0.00266013,375.9214502
233,1,9,Mammal,Didelphimorphia,Didelphis virginiana,2846.6,5.299,Omnivore,Marsupial,0.001861519,537.1956973
